taxonid,year,category
282,1994,K
282,1990,K
282,1988,K
282,1986,K
283,2011,LC
283,1996,VU
283,1994,K
283,1990,K
283,1988,K
283,1986,K
313,1996,EN
313,1994,R
314,1996,VU
314,1994,I
314,1990,I
314,1988,I
314,1986,I
315,2017,NT
315,1996,VU
315,1994,I
499,2011,VU
499,1996,LR/nt
499,1994,V
500,2011,NT
500,2000,VU
500,1996,VU
500,1994,V
501,2011,VU
501,2000,VU
501,1994,V
502,2011,EN
502,2000,VU
502,1996,LR/nt
502,1994,R
503,2011,VU
503,2000,VU
503,1996,VU
503,1994,E
504,2011,LC
504,2000,LR/nt
504,1996,LR/nt
504,1994,E
505,2011,VU
505,2000,VU
505,1996,LR/nt
505,1994,V
506,2011,VU
506,1996,DD
506,1994,R
507,2011,CR
507,1996,LR/nt
507,1994,V
508,2011,DD
508,1996,LR/nt
508,1994,E
512,2016,CR
512,2008,CR
512,2006,CR
512,2000,CR
512,1996,EN
512,1994,E
512,1990,E
512,1988,E
512,1986,E
512,1965,NA
513,1996,EN
513,1994,E
513,1990,E
513,1988,E
513,1986,E
513,1983,E
520,2004,NT
520,2002,NT
520,1996,LR/nt
520,1994,K
521,2014,EN
521,1996,EN
521,1994,I
523,2019,CR
523,1996,CR
523,1994,E
523,1990,E
523,1988,E
526,1996,VU
526,1994,I
526,1990,I
526,1988,I
526,1986,I
527,1996,VU
527,1994,I
527,1990,I
527,1988,I
527,1986,I
547,2016,LC
547,2008,LC
547,1996,LR/lc
548,2016,LC
548,2008,LC
548,1996,LR/lc
549,2017,VU
549,2008,VU
549,1996,VU
549,1994,E
549,1990,E
549,1988,E
549,1986,E
550,2016,LC
550,2008,LC
550,1996,LR/cd
555,2016,NT
555,2008,NT
555,1996,LR/nt
556,2016,DD
556,2008,DD
556,1996,LR/lc
557,2016,LC
557,2008,DD
557,1996,LR/lc
561,2016,LC
561,2010,LC
561,2006,LC
561,1996,EN
561,1994,R
561,1990,R
561,1988,R
561,1986,R
562,2018,LC
562,2007,LC
562,1996,VU
562,1994,R
562,1990,R
562,1988,R
562,1986,R
563,2006,LC
563,1996,LR/nt
563,1994,I
563,1990,I
563,1988,I
563,1986,E
564,2006,DD
564,1996,EN
564,1994,I
564,1990,I
565,2016,LC
565,2008,LC
565,1996,LR/nt
565,1994,I
565,1992,I
567,2017,DD
567,2008,DD
567,2004,VU
567,1996,LR/lc
567,1994,R
568,2016,LC
568,2008,LC
568,2004,LC
568,1996,LR/lc
569,2016,LC
569,2008,LC
569,2004,LC
569,1996,LR/lc
570,2017,LC
570,2016,LC
570,2008,LC
570,2004,LC
570,2003,LC
570,1996,LR/lc
571,2016,LC
571,2008,LC
571,2004,LC
571,1996,LR/lc
572,2016,LC
572,2008,LC
572,2004,LC
572,1996,LR/lc
573,2016,LC
573,2008,LC
573,2004,LC
573,1996,LR/lc
574,2016,LC
574,2008,LC
574,2004,LC
574,1996,LR/lc
575,2017,DD
575,2008,DD
575,2004,NT
575,1996,LR/nt
576,2016,LC
576,2008,LC
576,2004,LC
576,1996,LR/lc
592,2008,DD
592,1996,CR
593,2008,DD
593,1996,CR
594,2008,DD
594,1996,CR
595,1996,CR
595,1996,EN
596,2013,LC
596,2004,LC
596,1996,LR/lc
596,1994,R
612,2018,LC
612,2017,NT
612,1996,LR/nt
612,1994,R
618,2016,VU
618,1996,EN
619,2016,EN
619,1996,EN
622,1996,EN
622,1994,I
623,1996,EN
623,1994,E
624,1996,EN
624,1994,E
697,2016,LC
697,1996,LR/lc
699,2016,LC
699,2008,LC
699,1996,LR/lc
700,2016,NT
700,2008,NT
700,1996,LR/nt
701,2015,EN
701,2010,EN
701,1996,EN
701,1994,V
704,1996,EX
704,1994,Ex?
704,1990,Ex?
704,1988,Ex?
704,1986,Ex?
705,1996,EX
705,1994,Ex
705,1990,Ex
705,1988,Ex
705,1986,Ex
706,1996,EX
706,1994,Ex?
706,1990,Ex?
706,1988,Ex?
706,1986,Ex?
707,1996,EX
707,1994,Ex
707,1990,Ex
707,1988,Ex
707,1986,Ex
708,1996,EX
708,1994,Ex
708,1990,Ex
708,1988,Ex
708,1986,Ex
709,1996,EX
709,1994,Ex
709,1990,Ex
709,1988,Ex
709,1986,Ex
712,2016,VU
712,2008,EN
712,1996,EN
712,1994,E
712,1990,E
712,1988,R
712,1986,R
712,1965,NA
714,2015,EN
714,2008,VU
714,1996,EN
714,1994,V
714,1990,K
714,1988,K
723,2016,LC
723,2008,LC
723,1996,LR/lc
724,2016,LC
724,2008,LC
724,1996,LR/lc
725,2016,LC
725,2008,LC
725,1996,LR/lc
726,2016,LC
726,2008,LC
726,1996,LR/lc
727,2016,LC
727,2008,LC
727,1996,LR/lc
728,2016,LC
728,2008,LC
728,1996,LR/lc
729,2016,LC
729,2008,LC
729,1996,LR/lc
730,2016,LC
730,2008,LC
730,1996,LR/lc
731,2016,LC
731,2008,LC
731,1996,LR/lc
733,2016,LC
733,2008,LC
733,1996,LR/lc
735,2016,LC
735,2008,NT
735,1996,LR/lc
736,2016,LC
736,2008,LC
736,1996,LR/lc
737,2016,LC
737,2008,LC
737,1996,LR/lc
738,2016,LC
738,2008,LC
738,1996,LR/lc
739,2016,LC
739,2008,LC
739,1996,LR/lc
740,2016,LC
740,2008,LC
740,1996,LR/lc
741,2019,EN
741,2016,VU
741,2008,VU
741,1996,LR/lc
742,2019,DD
742,2008,DD
742,1996,VU
743,2016,LC
743,2008,LC
743,1996,LR/lc
746,2016,LC
746,2008,LC
746,1996,LR/lc
747,2016,LC
747,2008,LC
747,1996,LR/lc
748,2016,LC
748,2008,LC
748,1996,LR/lc
750,2017,LC
750,2008,LC
750,1996,LR/lc
751,2017,LC
751,2008,LC
751,1996,LR/lc
752,2016,LC
752,2008,LC
752,1996,LR/lc
753,2016,LC
753,2008,LC
753,1996,LR/lc
754,2018,NT
754,2008,NT
754,1996,LR/lc
755,2019,DD
755,2008,DD
755,1996,LR/nt
756,2016,LC
756,2008,LC
756,1996,LR/lc
757,2018,NT
757,2008,NT
757,1996,VU
758,2016,LC
758,2008,LC
758,1996,LR/lc
760,2016,LC
760,2008,LC
760,1996,LR/lc
761,2018,VU
761,2008,VU
761,1996,LR/lc
762,2016,LC
762,2008,LC
762,1996,LR/lc
763,2016,LC
763,2008,LC
763,1996,LR/lc
764,2016,LC
764,2008,LC
764,1996,LR/lc
765,2016,LC
765,2008,LC
765,1996,LR/lc
766,2019,DD
766,2008,DD
766,1996,LR/lc
772,1996,VU
772,1994,V
772,1990,V
772,1988,V
772,1986,V
773,2012,EN
773,2000,EN
773,1994,I
773,1990,I
773,1988,I
773,1986,I
774,2012,EN
774,2000,EN
774,1994,I
774,1990,I
774,1988,I
774,1986,I
775,2011,VU
775,2000,EN
775,1994,E
775,1990,E
775,1988,E
775,1986,I
776,2012,CR
776,2000,CR
776,1996,CR
776,1994,I
776,1990,E
776,1988,E
776,1986,I
777,2000,EX
777,1996,CR
777,1994,Ex
777,1990,E
777,1988,E
777,1986,I
778,2000,EX
778,1996,CR
778,1994,I
778,1990,I
778,1988,I
778,1986,I
779,2017,LC
779,2000,DD
779,1996,DD
780,2011,EX
780,2000,EX
780,1996,CR
781,2017,VU
781,2000,DD
781,1996,DD
781,1994,I
787,2014,EX
787,2006,EX
787,1996,VU
787,1994,I
788,2006,VU
788,1996,VU
789,2008,LC
789,1996,LR/lc
790,2014,LC
790,1996,DD
809,2017,EN
809,2008,EN
809,1996,EN
809,1994,E
809,1990,E
809,1988,E
809,1986,E
809,1965,NA
810,2017,CR
810,2008,CR
810,1996,EN
810,1994,E
810,1990,E
810,1988,E
810,1986,E
811,2019,LC
811,2016,LC
811,2008,LC
811,1996,LR/cd
812,2017,LC
812,2008,LC
812,1996,LR/cd
813,2017,EX
813,2008,EX
813,1996,EX
813,1994,Ex
814,2017,LC
814,2008,LC
814,1996,LR/cd
815,2017,LC
815,2008,LC
815,1996,LR/cd
816,2017,EN
816,2008,EN
816,1996,LR/cd
817,2017,VU
817,2008,NT
817,1996,LR/cd
840,2009,EN
840,2006,EN
840,1996,VU
843,2016,LC
843,2008,LC
843,1996,VU
843,1994,R
843,1990,K
843,1988,K
850,2017,DD
850,2008,VU
850,2004,DD
850,1996,EN
850,1994,V
851,2016,LC
851,2008,LC
851,1996,LR/lc
852,2016,LC
852,2008,LC
852,1996,LR/nt
854,2019,LC
854,2008,NT
854,1996,LR/nt
855,2016,DD
855,2008,DD
855,1996,CR
856,2016,LC
856,2008,LC
856,1996,LR/lc
857,2016,LC
857,2008,LC
857,1996,LR/lc
858,2016,LC
858,2008,LC
858,1996,LR/lc
859,2016,LC
859,2008,LC
859,1996,LR/lc
860,2008,NT
860,1996,LR/lc
861,2016,LC
861,2008,LC
861,1996,LR/lc
862,1996,VU
862,1994,I
862,1990,V
862,1988,V
862,1986,V
862,1983,V
863,1996,VU
863,1994,V
863,1990,V
863,1988,V
863,1986,V
863,1983,V
865,2019,LC
865,2008,LC
865,1996,LR/nt
865,1994,K
865,1990,K
865,1988,K
865,1986,K
867,2018,CR
867,1996,CR
867,1994,E
867,1990,E
867,1988,E
867,1986,E
867,1982,E
868,2014,VU
868,2008,DD
868,2000,EN
868,1996,CR
868,1994,E
868,1990,E
868,1988,E
868,1986,E
869,1996,VU
869,1994,V
870,1996,LR/nt
870,1994,V
871,1996,LR/nt
871,1994,V
872,2016,VU
872,2010,VU
872,1996,CR
873,1996,VU
873,1994,I
873,1990,I
873,1988,I
873,1986,I
874,1996,VU
874,1994,I
874,1990,I
874,1988,I
874,1986,I
875,2016,LC
875,2008,LC
875,1996,LR/lc
877,2011,LC
877,1996,LR/nt
879,1996,EX
879,1994,Ex
879,1990,Ex
879,1988,Ex
879,1986,Ex
881,2019,CR
881,1996,CR
881,1994,E
881,1990,E
881,1988,V
881,1986,V
882,1996,VU
882,1994,R
882,1990,V
882,1988,V
882,1986,V
883,1996,VU
883,1994,R
883,1990,R
883,1988,R
883,1986,R
884,2011,LC
884,1996,VU
884,1994,R
884,1990,V
884,1988,V
884,1986,V
885,1996,VU
885,1994,R
885,1990,V
885,1988,V
885,1986,V
886,1996,VU
886,1994,R
887,1996,VU
887,1994,I
888,1996,VU
888,1994,R
889,2011,LC
889,1996,VU
889,1994,I
890,2011,EN
890,1996,VU
890,1994,R
891,1996,VU
891,1994,I
892,1996,VU
892,1994,R
899,2014,LC
899,2008,LC
899,2004,LC
899,1996,LR/lc
903,2008,LC
903,1996,DD
904,2008,LC
904,1996,DD
905,2006,VU
905,1996,VU
906,2008,LC
906,1996,DD
907,2008,VU
907,1996,DD
908,2010,DD
908,1996,EN
914,2008,EN
914,2003,EN
914,2000,LR/lc
914,1996,LR/lc
914,1994,K
914,1990,K
914,1988,I
914,1986,I
914,1982,I
918,2008,EN
918,2003,CR
918,2000,CR
918,1996,CR
918,1994,E
919,2008,VU
919,2003,LC
919,2000,LR/lc
919,1996,LR/lc
919,1994,E
922,2015,LC
922,2008,LC
922,2000,DD
922,1996,DD
925,2008,CR
925,2003,CR
925,2000,VU
925,1996,VU
928,2017,EN
928,2010,VU
928,2004,VU
928,1996,DD
928,1994,R
929,2016,VU
929,2010,CR
929,2004,CR
929,1996,DD
929,1994,E
932,2019,EN
932,2010,CR
932,2004,CR
932,1996,DD
932,1994,V
939,2016,CR
939,2010,CR
939,1996,CR
939,1994,E
940,2016,CR
940,1996,CR
940,1994,E
941,2016,EN
941,1996,EN
941,1994,V
942,2016,VU
942,1996,EN
942,1994,V
948,2016,DD
948,2008,DD
948,1996,LR/nt
949,2016,LC
949,2008,LC
949,1996,LR/lc
950,2016,LC
950,2008,LC
950,1996,LR/lc
951,2016,LC
951,2008,LC
951,1996,LR/lc
952,2016,LC
952,2008,LC
952,1996,LR/lc
953,2016,VU
953,2008,VU
953,1996,VU
954,2016,NT
954,2008,NT
954,1996,LR/nt
955,2016,LC
955,2008,LC
955,1996,LR/lc
956,2016,LC
956,2008,LC
956,1996,LR/lc
958,2016,LC
958,2008,LC
958,1996,LR/lc
959,2016,LC
959,2008,LC
959,1996,LR/lc
977,2009,VU
977,2004,VU
977,1996,CR
977,1994,E
977,1990,E
977,1988,I
979,2009,VU
979,2004,VU
979,1996,VU
980,2010,NT
980,1996,VU
980,1994,V
984,2010,CR
984,2006,CR
984,1996,EN
984,1994,E
984,1990,E
984,1988,E
984,1986,E
985,1996,CR
985,1994,E
986,1996,CR
986,1994,E
987,1996,CR
987,1994,E
988,1996,CR
988,1994,E
989,1996,EX
989,1994,Ex
990,1996,EX
990,1994,Ex
991,1996,EX
991,1994,Ex
992,1996,EX
992,1994,Ex?
993,1996,EX
993,1994,Ex?
994,1996,EX
994,1994,Ex
995,1996,EX
995,1994,Ex
996,1996,EX
996,1994,Ex
997,1996,EX
997,1994,Ex
998,1996,EX
998,1994,Ex
999,1996,EX
999,1994,Ex
1000,1996,EX
1000,1994,Ex?
1001,1996,EN
1001,1994,R
1001,1990,R
1001,1988,R
1001,1986,R
1002,1996,VU
1002,1994,R
1002,1990,R
1002,1988,R
1002,1986,R
1003,1996,VU
1003,1994,R
1003,1990,R
1003,1988,R
1003,1986,R
1074,2019,LC
1074,1996,DD
1074,1994,R
1075,2019,LC
1075,1996,LR/lc
1075,1994,K
1076,1996,CR
1076,1994,I
1078,2013,LC
1078,1996,VU
1078,1994,R
1078,1990,R
1078,1988,R
1078,1986,R
1079,2014,NT
1079,1996,VU
1079,1994,V
1079,1990,V
1079,1988,V
1079,1986,V
1080,2014,NT
1080,1996,VU
1080,1994,V
1080,1990,V
1080,1988,V
1080,1986,V
1086,2004,VU
1086,1996,VU
1086,1994,R
1086,1990,R
1086,1988,R
1086,1986,R
1087,2015,EN
1087,2008,EN
1087,2006,EN
1087,1996,VU
1087,1994,I
1087,1990,I
1087,1988,K
1089,2015,EN
1089,2008,VU
1089,2006,EN
1089,1996,CR
1089,1994,I
1089,1990,I
1089,1988,R
1089,1986,R
1093,2015,EN
1093,2008,CR
1093,2004,CR
1093,1996,CR
1093,1994,R
1093,1990,R
1093,1988,R
1093,1986,R
1095,2010,CR
1095,2006,CR
1095,2004,VU
1095,1996,VU
1095,1994,R
1095,1990,R
1095,1988,R
1095,1986,R
1098,2004,VU
1098,1996,VU
1098,1994,V
1098,1990,V
1098,1988,V
1098,1986,V
1099,2008,VU
1099,2004,VU
1099,1996,VU
1117,2019,CR
1117,1996,EW
1117,1994,E
1117,1990,E
1118,2017,EN
1118,2016,EN
1118,1996,CR
1118,1994,E
1118,1990,E
1118,1988,E
1118,1986,E
1119,2017,EX
1119,2016,EX
1119,1996,EX
1119,1994,Ex
1120,2017,DD
1120,2016,DD
1120,1996,EX
1120,1994,Ex
1137,2016,LC
1137,2008,LC
1137,1996,LR/lc
1140,2017,DD
1140,2008,DD
1140,2004,DD
1140,1996,VU
1140,1994,K
1141,2016,VU
1141,2008,VU
1141,2007,VU
1141,1996,VU
1141,1994,V
1141,1990,V
1141,1988,V
1141,1986,V
1141,1965,NA
1146,1996,VU
1146,1994,I
1146,1990,I
1146,1988,I
1146,1986,I
1147,1996,VU
1147,1994,I
1147,1990,I
1147,1988,I
1147,1986,I
1148,1996,VU
1148,1994,I
1148,1990,I
1148,1988,I
1148,1986,I
1149,2017,EN
1149,2008,EN
1149,2000,EN
1149,1996,EN
1151,2008,VU
1151,1996,VU
1151,1994,I
1151,1990,V
1151,1988,V
1151,1986,V
1154,2015,VU
1154,2008,EN
1154,1996,VU
1167,1996,LR/nt
1167,1994,R
1168,2000,EX
1168,1996,CR
1168,1994,I
1169,2006,DD
1169,1996,EN
1169,1994,I
1169,1990,I
1170,2017,LC
1170,1996,VU
1170,1994,R
1172,2017,VU
1172,1996,VU
1172,1994,Ex?
1173,1996,EN
1173,1994,E
1174,1996,LR/lc
1174,1994,V
1175,1996,DD
1175,1994,I
1176,1996,LR/nt
1176,1994,I
1178,1996,EN
1178,1994,E
1181,2000,VU
1181,1996,VU
1190,2008,EN
1190,1996,EN
1190,1994,I
1199,2006,EN
1199,1996,EN
1199,1994,E
1256,2010,LC
1256,2004,LC
1256,1996,EN
1257,2010,DD
1257,1996,EN
1258,2016,DD
1258,2004,DD
1258,2000,DD
1258,1996,DD
1258,1994,K
1259,2016,LC
1259,2004,DD
1259,1996,DD
1261,1996,CR
1261,1994,E
1261,1990,E
1261,1988,E
1261,1986,E
1261,1983,E
1262,2010,CR
1262,1996,EN
1263,2010,DD
1263,1996,LR/nt
1264,2016,LC
1264,2008,LC
1264,1996,VU
1265,2016,LC
1265,2008,LC
1265,1996,LR/lc
1271,2016,LC
1271,2008,LC
1271,1996,LR/lc
1272,2004,CR
1272,1996,DD
1272,1994,I
1272,1990,I
1272,1988,I
1272,1986,I
1273,2004,NT
1273,1996,VU
1273,1994,R
1273,1990,R
1273,1988,R
1273,1986,R
1282,2004,NT
1282,1996,LR/nt
1285,1996,VU
1285,1990,I
1285,1988,I
1285,1986,I
1286,1996,LR/nt
1286,1994,R
1286,1990,R
1286,1988,R
1286,1986,R
1287,1996,LR/nt
1287,1994,R
1287,1990,R
1287,1988,R
1287,1986,R
1288,1996,LR/nt
1288,1994,R
1288,1990,R
1288,1988,R
1288,1986,R
1289,1996,LR/nt
1289,1994,R
1289,1990,R
1289,1988,R
1289,1986,R
1290,1996,CR
1290,1994,K
1290,1990,K
1290,1988,K
1290,1986,K
1290,1983,K
1291,2011,VU
1291,1996,VU
1291,1994,V
1292,1996,EX
1292,1994,E
1294,1996,VU
1294,1994,V
1295,2011,NT
1295,1996,CR
1295,1994,V
1296,2011,CR
1296,1996,VU
1296,1994,I
1298,1996,LR/lc
1298,1994,E
1299,1996,DD
1299,1994,V
1299,1990,V
1299,1988,V
1299,1986,V
1301,2016,VU
1301,2004,EN
1301,1996,LR/nt
1301,1994,R
1307,2016,LC
1307,2008,LC
1307,1996,LR/lc
1308,2015,LC
1308,1996,EN
1312,2011,NT
1312,1996,LR/nt
1317,2007,NT
1317,1996,VU
1317,1994,E
1317,1990,E
1317,1988,I
1317,1983,E
1319,2011,CR
1319,1996,CR
1319,1994,E
1319,1990,E
1319,1988,E
1319,1986,E
1541,2018,LC
1541,1996,VU
1541,1994,V
1550,2016,LC
1550,2008,LC
1550,2004,LC
1550,1996,LR/lc
1551,2009,DD
1551,2004,NT
1551,1996,LR/nt
1553,2016,LC
1553,2008,LC
1553,2004,LC
1553,1996,LR/lc
1555,2012,LC
1555,1996,DD
1555,1994,K
1555,1990,K
1555,1988,K
1559,2016,DD
1559,2008,DD
1559,1996,VU
1559,1994,K
1564,2018,EN
1564,2010,VU
1564,2008,VU
1564,1996,EN
1566,2016,LC
1566,2008,NT
1566,1996,LR/lc
1568,2015,LC
1568,2008,LC
1568,1996,LR/nt
1569,2018,LC
1569,2008,LC
1569,1996,DD
1581,2016,LC
1581,2008,LC
1581,1996,DD
1581,1965,NA
1583,2019,LC
1583,2008,NT
1583,1996,LR/nt
1584,2016,LC
1584,2008,LC
1584,1996,LR/nt
1587,2016,LC
1587,2008,LC
1587,1996,DD
1589,2016,LC
1589,2008,LC
1589,1996,DD
1590,2016,LC
1590,2008,LC
1590,2000,LR/lc
1590,1996,DD
1591,2016,LC
1591,2008,LC
1591,1996,LR/lc
1615,2015,LC
1615,1996,VU
1617,2014,EN
1617,1996,EN
1617,1994,I
1617,1990,I
1617,1988,I
1617,1986,I
1620,2008,DD
1620,1996,VU
1676,2016,LC
1676,2008,LC
1676,1996,LR/cd
1677,2016,LC
1677,2008,LC
1677,1996,LR/lc
1681,2017,LC
1681,2008,NT
1681,2003,NT
1681,1996,VU
1681,1994,V
1781,2013,LC
1781,2006,LC
1781,1996,LR/nt
1781,1994,I
1781,1990,I
1781,1988,I
1781,1986,I
1783,2014,EN
1783,1996,VU
1783,1994,E
1783,1990,V
1783,1988,V
1783,1986,V
1783,1983,V
1786,1996,EN
1786,1994,I
1787,1996,VU
1787,1994,V
1787,1990,V
1787,1988,V
1787,1986,V
1787,1983,V
1789,2018,NT
1789,2008,NT
1789,1996,VU
1790,2017,LC
1790,2008,LC
1790,1996,LR/lc
1793,2015,NT
1793,2008,LC
1793,2004,LC
1793,2000,LR/lc
1793,1996,LR/lc
1794,2015,NT
1794,2008,LC
1794,2004,DD
1794,2000,DD
1794,1996,LR/nt
1802,2019,EN
1802,2008,VU
1802,2003,VU
1802,2000,VU
1802,1996,VU
1802,1994,V
1807,2019,VU
1807,2008,VU
1807,2000,EN
1807,1996,EN
1807,1994,V
1808,2008,VU
1808,2000,VU
1808,1996,VU
1820,2016,CR
1820,1996,CR
1843,2014,NT
1843,2006,DD
1843,1996,EN
1843,1994,I
1846,2006,EN
1846,1996,DD
1846,1994,E
1847,2006,LC
1847,1996,DD
1848,2014,EX
1848,1996,CR
1849,2014,EN
1849,2006,DD
1849,1996,CR
1850,2014,CR
1850,1996,CR
1854,1996,VU
1854,1994,I
1854,1990,I
1854,1988,I
1854,1986,I
1855,2000,VU
1855,1996,VU
1855,1994,I
1855,1990,I
1855,1988,I
1855,1986,I
1858,2012,VU
1858,1996,VU
1858,1994,I
1858,1990,I
1858,1988,I
1858,1986,I
1866,1996,DD
1866,1994,K
1869,2016,LC
1869,2008,LC
1869,2000,LR/nt
1869,1996,LR/lc
1888,2016,LC
1888,2008,LC
1888,1996,LR/lc
1890,2016,LC
1890,2008,LC
1890,1996,LR/lc
1891,2016,LC
1891,2008,LC
1891,1996,LR/lc
1892,2016,LC
