"Excluded_Species"
"1"
"2"
"3"
"4"
"5"
"6"
"7"
"8"
"9"
"10"
"11"
"12"
"13"
"14"
"15"
"16"
"17"
"19"
"18"
"20"
"22"
"23"
"21"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
"33"
"34"
"35"
"36"
"37"
"38"
"68"
"69"
"39"
"40"
"41"
"42"
"43"
"44"
"45"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
"53"
"54"
"55"
"56"
"57"
"58"
"59"
"63"
"60"
"61"
"62"
"64"
"65"
"66"
"67"
"Ophioglossolambis violacea"
"Lampsilis bracteata"
"Lampsilis satura"
"Lanistes alexandri"
"Lanistes elliptus"
"Lasius reginae"
"Latiaxis babelis"
"Leiostyla cassidula"
"Lepidurus packardi"
"Leptaxis vetusa"
"Leptichnus bernardi"
"Leptinaria strebeliana"
"Leptocaris stromatolicolus"
"Leptothorax buschingeri"
"Leptothorax faberi"
"Leptothorax duloticus"
"Leptothorax minutissimus"
"Leucaspius irideus"
"Leucocythere helenae"
"Lexingtonia subplana"
"Linderiella occidentalis"
"Liocypris grandis"
"Liosaccus pachygaster"
"Littoraria flammea"
"Littoridina gaudichaudii"
"Lovenula excellens"
"Lovenula simplex"
"Luchuena hachijoensis"
"Lucifuga subterranea"
"Lucifuga teresinarum"
"Luciogobius pallidus"
"Lutilodix imitratrix"
"Lyropupa anceyana"
"Lyropupa clathratula"
"Lyropupa hawaiiensis"
"Lyropupa lyrata"
"Lyropupa microthauma"
"Lyropupa mirabilis"
"Lyropupa prisca"
"Lyropupa rhabdota"
"Lyropupa scabra"
"Lyropupa spaldingi"
"Lyropupa sparna"
"Lyropupa striatula"
"Lyropupa thaanumi"
"Lyropupa truncata"
"Manica parasitica"
"Marginella chalmersi"
"Marginella gemma"
"Marginella liparozona"
"Marginella melvilli"
"Mastigodiaptomus amatitlanensis"
"Mastigodiaptomus montezumae"
"Mastigodiaptomus purpureus"
"Mathewsoconcha belli"
"Medionidus conradicus"
"Megalobulimus fragilion"
"Megalobulimus grandis"
"Megalobulimus lopesi"
"Megalobulimus parafragilior"
"Megalobulimus proclivis"
"Megalomyrmex symmetochus"
"Melanatria fluminea"
"Melanogrammus aeglefinus"
"Mesocyclops insulensis"
"Mesonerilla prospera"
"Metacyclops campestris"
"Metacyclops gasparoi"
"Metacyclops postojnae"
"Metadiaptomus capensis"
"Metadiaptomus purcelli"
"Mexistenasellus nulemex"
"Microstrophia modesta"
"Microstrophia nana"
"Monolistra bolei"
"Monolistra spinosissima"
"Monolistra calopyge"
"Monolistra schottlaenderi"
"Monomorium hospitum"
"Monomorium inquilinum"
"Monomorium pergandei"
"Monomorium santschii"
"Monomorium effractor"
