Excluded_Species
78
80
83
166
216
251
511
515
522
524
525
530
531
611
678
693
694
876
896
897
898
900
1158
1159
1160
1164
1165
1166
1276
1560
1675
1784
1831
1950
2039
2040
2068
2069
2070
2071
2105
2157
2158
2159
2195
2199
2355
2374
2380
2443
2468
2559
2637
2650
2680
2733
2765
2766
2840
2841
2842
2843
2847
2884
2911
2912
2913
2958
3044
3045
3046
3047
3048
3054
3055
3166
3319
3451
3514
3520
3565
3630
3720
3771
3857
3901
4002
4014
4251
4299
4402
4403
4404
4405
4406
4407
4408
4409
4524
4525
4526
4527
4528
4607
4619
4620
4622
4661
4662
4663
4715
4782
4800
4891
4892
4959
4960
4969
4986
5050
5055
5119
5152
5153
5154
5155
5156
5157
5158
5159
5160
5161
5162
5163
5164
5165
5261
5271
5486
5510
5712
5972
6002
6046
6180
6202
6203
6248
6249
6253
6257
6519
6522
6524
6631
6632
6633
6634
6660
6661
6782
6809
6810
6811
6818
6819
6845
6913
6914
6915
6916
6917
6930
7033
7116
7117
7118
7119
7125
7126
7455
7599
7601
7613
7614
7615
7616
7620
7629
7637
7641
7642
7664
7717
7779
7780
7784
7829
7845
7846
7847
7848
7849
7850
7851
7852
7853
7897
7898
7986
8002
8161
8167
8181
8182
8183
8184
8218
8264
8346
8347
8348
8349
8350
8351
8352
8353
8354
8392
8409
8649
8650
8656
8657
8658
8659
8660
8776
8784
8955
9008
9175
9176
9177
9178
9314
9315
9330
9393
9394
9395
9396
9398
9463
9536
9537
9538
9539
9540
9541
9542
9543
9544
9545
9546
9547
9548
9549
9550
9551
9552
9553
9555
9556
9557
9558
9559
9619
9663
9669
9686
9693
9694
9722
9729
9731
9732
9745
9800
9806
9807
9810
9811
9846
9870
9884
9890
9973
9974
10097
10184
10185
10187
10273
10309
10344
10459
10720
10721
10788
10797
10806
10807
10808
10815
10816
10830
10850
10915
10916
10917
10956
10958
11002
11010
11068
11069
11191
11252
11260
11261
11262
11264
11265
11279
11282
11356
11358
11368
11456
11615
11658
11659
11660
11662
11759
11761
11762
11763
11874
11898
11923
11989
11993
12103
12114
12115
12117
12118
12242
12243
12384
12385
12397
12400
12401
12404
12415
12527
12528
12529
12530
12531
12532
12533
12534
12535
12536
12537
12538
12539
12540
12693
12759
12807
12808
12809
12810
12860
12861
12862
12872
12925
12972
12973
12974
12975
12976
12979
13021
13045
13223
13238
13258
13259
13260
13261
13262
13293
13415
13416
13705
13706
13707
13708
13709
13711
13712
13713
13714
13715
13716
13903
13932
13933
13934
13951
14001
14002
14216
14225
14230
14231
14232
14233
14234
14235
14236
14237
14238
14239
14240
14241
14242
14316
14318
14331
14368
14369
14513
14514
14515
14516
14530
14538
14540
14561
14682
14683
14684
14685
14686
14687
14688
14689
14690
14691
14692
14693
14694
14695
14696
14697
14698
14699
14700
14701
14702
14703
14745
14747
14748
14749
14750
14751
14752
14793
14794
