"name","result.year","result.code","result.category"
"Nectophrynoides asperginis","2009","EW","Extinct in the Wild"
"Nectophrynoides asperginis","2006","CR","Critically Endangered"
"Nectophrynoides asperginis","2004","CR","Critically Endangered"
"Nilssonia nigricans","2002","EW","Extinct in the Wild"
"Nilssonia nigricans","2000","CR","Critically Endangered"
"Nilssonia nigricans","1996","CR","Critically Endangered"
"Nilssonia nigricans","1994","R","Rare"
"Nilssonia nigricans","1990","R","Rare"
"Nilssonia nigricans","1988","R","Rare"
"Nilssonia nigricans","1986","R","Rare"
"Nilssonia nigricans","1982","R","Rare"
"Nymphaea thermarum","2010","EW","Extinct in the Wild"
"Oryx dammah","2016","EW","Extinct in the Wild"
"Oryx dammah","2008","EW","Extinct in the Wild"
"Oryx dammah","2007","EW","Extinct in the Wild"
"Oryx dammah","2000","EW","Extinct in the Wild"
"Oryx dammah","1996","CR","Critically Endangered"
"Oryx dammah","1994","E","Endangered"
"Oryx dammah","1990","E","Endangered"
"Oryx dammah","1988","E","Endangered"
"Oryx dammah","1986","E","Endangered"
"Oryx dammah","1965",NA,"""Status inadequately known-survey required or data sought"""
"Partula dentifera","2009","EW","Extinct in the Wild"
"Partula dentifera","1996","EW","Extinct in the Wild"
"Partula dentifera","1994","E","Endangered"
"Partula faba","2009","EW","Extinct in the Wild"
"Partula faba","1996","EW","Extinct in the Wild"
"Partula faba","1994","E","Endangered"
"Partula hebe","2009","EW","Extinct in the Wild"
"Partula hebe","1996","EW","Extinct in the Wild"
"Partula hebe","1994","E","Endangered"
"Partula hebe","1990","E","Endangered"
"Partula hebe","1988","E","Endangered"
"Partula hebe","1986","E","Endangered"
"Partula mirabilis","2009","EW","Extinct in the Wild"
"Partula mirabilis","1996","EW","Extinct in the Wild"
"Partula mirabilis","1994","Ex","Extinct"
"Partula mirabilis","1990","Ex","Extinct"
"Partula mirabilis","1988","Ex","Extinct"
"Partula mirabilis","1986","E","Endangered"
"Partula mirabilis","1983","E","Endangered"
"Partula mooreana","2009","EW","Extinct in the Wild"
"Partula mooreana","1996","EW","Extinct in the Wild"
"Partula mooreana","1994","Ex","Extinct"
"Partula mooreana","1990","Ex","Extinct"
"Partula mooreana","1988","Ex","Extinct"
"Partula mooreana","1986","E","Endangered"
"Partula mooreana","1983","E","Endangered"
"Partula nodosa","2009","EW","Extinct in the Wild"
"Partula nodosa","1996","EX","Extinct"
"Partula nodosa","1994","Ex","Extinct"
"Partula rosea","2009","EW","Extinct in the Wild"
"Partula rosea","1996","CR","Critically Endangered"
"Partula rosea","1994","E","Endangered"
"Partula suturalis","2009","EW","Extinct in the Wild"
"Partula suturalis","1996","EW","Extinct in the Wild"
"Partula suturalis","1994","Ex","Extinct"
"Partula suturalis","1990","Ex","Extinct"
"Partula suturalis","1988","Ex","Extinct"
"Partula suturalis","1986","E","Endangered"
"Partula suturalis","1983","E","Endangered"
"Partula tohiveana","2009","EW","Extinct in the Wild"
"Partula tohiveana","1996","EW","Extinct in the Wild"
"Partula tohiveana","1994","Ex","Extinct"
"Partula tohiveana","1990","Ex","Extinct"
"Partula tohiveana","1988","Ex","Extinct"
"Partula tohiveana","1986","E","Endangered"
"Partula tohiveana","1983","E","Endangered"
"Partula tristis","2009","EW","Extinct in the Wild"
"Partula tristis","1996","EW","Extinct in the Wild"
"Partula tristis","1994","Ex","Extinct"
"Partula varia","2009","EW","Extinct in the Wild"
"Partula varia","1996","CR","Critically Endangered"
"Partula varia","1994","E","Endangered"
"Rhododendron kanehirai","1998","EW","Extinct in the Wild"
"Senecio leucopeplus","2008","EW","Extinct in the Wild"
"Skiffia francesae","1996","EW","Extinct in the Wild"
"Skiffia francesae","1994","E","Endangered"
"Skiffia francesae","1990","E","Endangered"
"Skiffia francesae","1988","E","Endangered"
"Skiffia francesae","1986","E","Endangered"
"Sophora toromiro","1998","E","Endangered"
"Sophora toromiro","1998","EW","Extinct in the Wild"
"Sophora toromiro","1978","Ex","Extinct"
"Stenodus leucichthys","2008","EW","Extinct in the Wild"
"Stenodus leucichthys","1996","DD","Data Deficient"
"Terminalia acuminata","1998","EW","Extinct in the Wild"
"Thermosphaeroma thermophilum","1996","EW","Extinct in the Wild"
"Thermosphaeroma thermophilum","1994","E","Endangered"
"Thermosphaeroma thermophilum","1990","E","Endangered"
"Thermosphaeroma thermophilum","1988","K","Insufficiently Known"
"Thermosphaeroma thermophilum","1986","E","Endangered"
"Thermosphaeroma thermophilum","1983","E","Endangered"
"Todiramphus cinnamominus","2017","EW","Extinct in the Wild"
"Todiramphus cinnamominus","2016","EW","Extinct in the Wild"
"Todiramphus cinnamominus","2015","EW","Extinct in the Wild"
"Todiramphus cinnamominus","2014","EW","Extinct in the Wild"
"Trochetiopsis erythroxylon","2016","EW","Extinct in the Wild"
"Trochetiopsis erythroxylon","2003","EW","Extinct in the Wild"
"Trochetiopsis erythroxylon","1998","E","Endangered"
"Trochetiopsis erythroxylon","1998","EW","Extinct in the Wild"
"Trochetiopsis erythroxylon","1978","E","Endangered"
"Zenaida graysoni","2016","EW","Extinct in the Wild"
"Zenaida graysoni","2012","EW","Extinct in the Wild"
"Zenaida graysoni","2010","EW","Extinct in the Wild"
"Zenaida graysoni","2008","EW","Extinct in the Wild"
"Zenaida graysoni","2004","EW","Extinct in the Wild"
"Zenaida graysoni","2000","EW","Extinct in the Wild"
"Zenaida graysoni","1996","EW","Extinct in the Wild"
"Zenaida graysoni","1994","EW","Extinct in the Wild"
"Zenaida graysoni","1988","T","Threatened"
