"scientific_name","common_name","previous_category","new_category","reason_for_change","year"
"Cephalophus spadix","Abbott’s Duiker","VU","EN","G","2007"
"Gazella spekei","Speke’s Gazelle","VU","EN","G","2007"
"Gorilla gorilla","Western Gorilla","EN","CR","G","2007"
"Lipotes vexillifer","Baiji","CR","CR (PE)","G","2007"
"Mazama chunyi","Dwarf Brocket Deer","DD","VU","N","2007"
"Procapra picticaudata","Tibetan Gazelle","LC","NT","G","2007"
"Ardea insignis","White-bellied Heron","EN","CR","N","2007"
"Aythya innotata","Madagascar Pochard","CR (PE)","CR","N","2007"
"Brachypteryx hyperythra","Rusty-bellied Shortwing","VU","NT","N","2007"
"Branta ruficollis","Red-breasted Goose","VU","EN","G","2007"
"Charadrius pallidus","Chestnut-banded Plover","LC","NT","N","2007"
"Charadrius sanctaehelenae","St Helena Plover","VU","CR","G","2007"
"Chthonicola sagittatus","Speckled Warbler","NT","LC","N","2007"
"Cinclodes pabsti","Long-tailed Cinclodes","LC","NT","N","2007"
"Coeligena orina","Dusky Starfrontlet","LC","CR","N","2007"
"Corvus unicolor","Banggai Crow","CR (PE)","CR","N","2007"
"Euphagus carolinus","Rusty Blackbird","LC","VU","N","2007"
"Eurystomus azureus","Purple Dollarbird","VU","NT","N","2007"
"Ficedula henrici","Damar Flycatcher","VU","NT","N","2007"
"Francolinus streptophorus","Ring-necked Francolin","LC","NT","N","2007"
"Gallicolumba crinigera","Mindanao Bleeding-heart","EN","VU","N","2007"
"Garrulax courtoisi","Blue-crowned Laughingthrush","LC","CR","N","2007"
"Gypopsitta pyrilia","Saffron-headed Parrot","VU","NT","N","2007"
"Gyps africanus","White-backed Vulture","LC","NT","N","2007"
"Gyps rueppellii","Rueppell’s Vulture","LC","NT","N","2007"
"Heteromirafra sidamoensis","Sidamo Lark","VU","EN","N","2007"
"Heteromunia pectoralis","Pictorella Munia","NT","LC","N","2007"
"Houbaropsis bengalensis","Bengal Florican","EN","CR","G","2007"
"Macroagelaius subalaris","Mountain Grackle","CR","EN","N","2007"
"Macronectes giganteus","Southern Giant-petrel","VU","NT","N","2007"
"Melamprosops phaeosoma","Poo-uli","CR","CR (PE)","N","2007"
"Neophron percnopterus","Egyptian Vulture","LC","EN","G","2007"
"Oxyura maccoa","Maccoa Duck","LC","NT","N","2007"
"Pelecanus philippensis","Spot-billed Pelican","VU","NT","N","2007"
"Penelopina nigra","Highland Guan","NT","VU","N","2007"
"Phapitreron cinereiceps","Tawitawi Brown-dove","CR","EN","N","2007"
"Phoebastria irrorata","Waved Albatross","VU","CR","G","2007"
"Procellaria conspicillata","Speckled Petrel","CR","VU","N","2007"
"Psittacula eques","Mauritius Parakeet","CR","EN","G","2007"
"Psittacus erithacus","Grey Parrot","LC","NT","N","2007"
"Sarcogyps calvus","Red-headed Vulture","LC","VU","G","2007"
"Sheppardia gunningi","East Coast Akalat","VU","NT","N","2007"
"Siphonorhis brewsteri","Least Pauraque","DD","NT","N","2007"
"Trigonoceps occipitalis","White-headed Vulture","LC","VU","N","2007"
"Andropadus chlorigula","Green-throated Greenbul","LC","NR","synonym of A. nigriceps","2007"
"Aratinga strenua","Pacific Parakeet","LC","NR","synonym of A. holochlora","2007"
"Asturina plagiata","Grey Hawk","LC","NR","synonym of Buteo nitidus","2007"
"Crypturellus columbianus","Colombian Tinamou","EN","NR","synonym of C. erythropus","2007"
"Crypturellus salutarius","Magdalena Tinamou","CR","NR","synonym of C. erythropus","2007"
"Gerygone hypoxantha","Biak Gerygone","EN","NR","synonym of G. magnirostris","2007"
"Spizella taverneri","Timberline Sparrow","LC","NR","synonym of S. breweri","2007"
"Suiriri affinis","Campo Suiriri","LC","NR","synonym of S. suiriri","2007"
"Sylvietta chapini","Chapin’s Crombec","LC","NR","synonym of S. leucophrys","2007"
"Tangara cyanomelas","Silvery-breasted Tanager","LC","NR","synonym of T. velia","2007"
"Aspidoscelis hyperythra","Orangethroat Whiptail","DD","LC","N","2007"
"Gavialis gangeticus","Gharial","EN","CR","G","2007"
"Heloderma horridum","Beaded Lizard","VU","LC","N","2007"
"Heloderma suspectum","Gila Monster","VU","NT","N","2007"
"Kinosternon creaseri","Yucatan Mud Turtle","LR/nt","LC","N","2007"
"Kinosternon oaxacae","Oaxaca Mud Turtle","LR/nt","DD","N","2007"
"Rhinoclemmys rubida","Mexican Spotted Wood Turtle","VU","NT","N","2007"
"Thamnophis hammondii","Two-striped Gartersnake","DD","LC","N","2007"
"Xantusia riversiana","Island Night Lizard","VU","LC","N","2007"
"Mauremys iversoni","Fujian Pond Turtle","DD","NR","hybrid","2007"
"Mauremys pritchardi",NA,"DD","NR","hybrid","2007"
"Ocadia glyphistoma",NA,"DD","NR","hybrid","2007"
"Ocadia philippeni","Philippen’s Striped Turtle","DD","NR","hybrid","2007"
"Sacalia pseudocellata","Chinese False-eyed Turtle","DD","NR","hybrid","2007"
"Serranochromis meridianus","Lowveld Largemouth","LR/cd","EN","G","2007"
"Sphyrna mokarran","Great Hammerhead Shark","DD","EN","N","2007"
"Squatina aculeata","Sawback Angelshark","EN","CR","N","2007"
"Squatina guggenheim","Hidden Angelshark","VU","EN","N","2007"
"Squatina oculata","Smoothback Angelshark","EN","CR","N","2007"
"Croilia mossambica","Burrowing Goby","LR/nt","LC","N","2007"
"Barbus andrewi","Berg-Breede River Whitefish","VU","EN","N","2007"
"Barbus brevipinnis","Shortfin Barb","VU","NT","N","2007"
"Barbus calidus","Clanwilliam Redfin","EN","VU","N","2007"
"Barbus hospes","Namaquab Barb","LR/nt","LC","N","2007"
"Barbus treurensis","Treur River Barb","LR/cd","EN","N","2007"
"Barbus trevelyani","Border Barb","CR","EN","N","2007"
"Labeo seeberi","Clanwilliam Sandfish","CR","EN","N","2007"
"Opsaridium peringueyi","Southern Barred Minnow","VU","LC","N","2007"
"Pseudobarbus afer","Eastern Cape Redfin","LR/nt","EN","N","2007"
"Pseudobarbus asper","Smallscale Redfin","VU","EN","N","2007"
"Pseudobarbus burchelli","Tradou Redfin","EN","CR","N","2007"
"Pseudobarbus burgi","Berg River Redfin","CR","EN","N","2007"
"Pseudobarbus quathlambae","Maloti Redfin","CR","EN","N","2007"
"Pseudobarbus tenuis","Slender Redfin","EN","NT","N","2007"
"Nothobranchius kafuensis","Caprivi Killifish","EN","LC","N","2007"
"Nothobranchius kirki","Kirk's Killifish","DD","LC","N","2007"
"Nothobranchius orthonotus","Spotted Killifish","VU","LC","N","2007"
"Sandelia capensis","Cape Kurper","LR/lc","DD","N","2007"
"Chetia brevis","Orange-Fringed River Bream","VU","EN","N","2007"
"Redigobius dewaali","Checked Goby","LR/nt","LC","N","2007"
"Silhouettea sibayi","Sibayi Goby","LR/nt","EN","N","2007"
"Cromileptes altivelis","Humpback Grouper","DD","VU","N","2007"
"Mycteroperca jordani","Gulf Grouper","VU","EN","N","2007"
"Galaxias zebratus","Cape Galaxias","LR/nt","DD","N","2007"
"Austroglanis barnardi","Spotted Rock Catfish","CR","EN","N","2007"
"Austroglanis sclateri","Rock Catfish","DD","LC","N","2007"
"Chiloglanis bifurcus","Incomati Suckermouth","CR","EN","N","2007"
"Aciagrion heterosticta",NA,"LC","DD","N","2007"
"Aeshna persephone","Persephone's Darner","VU","LC","N","2007"
"Africallagma cuneistigma",NA,"EN","VU","N","2007"
"Anoglypta launcestonensis","Granulated Tasmanian Snail","VU","NT","N","2007"
"Bellamya monardi",NA,"EN","NT","N","2007"
"Biomphalaria angulosa",NA,"LR/nt","LC","N","2007"
"Biomphalaria salinarum",NA,"LR/nt","DD","N","2007"
"Bulinus canescens",NA,"LR/nt","LC","N","2007"
"Discocharopa mimosa",NA,"DD","LC","N","2007"
"Ecchlorolestes nylephtha","Queen Malachite","LC","NT","N","2007"
"Enallagma recurvatum","Pine Barrens Bluet","VU","LC","N","2007"
"Gomphus consanguis","Cherokee Clubtail","VU","EN","N","2007"
"Gomphus sandrius","Tennessee Clubtail","EN","VU","N","2007"
"Gomphus septima","Septima's Clubtail","VU","LC","N","2007"
"Ischnura gemina","San Francisco Forktail","EN","VU","N","2007"
"Lanistes neavei",NA,"VU","LC","N","2007"
"Metacnemis angusta","Ceres Stream-Damsel","DD","VU","N","2007"
"Nehalennia pallidula","Everglades Sprite","VU","NT","N","2007"
"Neurogomphus dissimilis",NA,"LC","DD","N","2007"
"Notogomphus zernyi",NA,"LC","DD","N","2007"
"Ophiogomphus acuminatus","Acuminate Snaketail","VU","NT","N","2007"
"Ophiogomphus anomalus","Extra-striped Snaketail","LR/nt","LC","N","2007"
"Ophiogomphus howei","Pygmy Snaketail","VU","LC","N","2007"
"Paragomphus cataractae","Cataract Hooktail","VU","NT","N","2007"
"Pila occidentalis",NA,"LR/nt","LC","N","2007"
"Planilaoma luckmanii",NA,"DD","LC","N","2007"
"Progomphus bellei","Belle's Sanddragon","VU","NT","N","2007"
"Somatochlora hineana","Hine's Emerald","EN","NT","N","2007"
"Afrocarpus dawei",NA,"LR/lc","NT","N","2007"
"Afrocarpus usambarensis",NA,"DD","VU","N","2007"
"Chlorocardium rodiei","Greenheart","VU","DD","N","2007"
"Dacrydium cornwalliana",NA,"DD","LC","N","2007"
"Dacrydium leptophyllum",NA,"DD","VU","N","2007"
"Dacrydium spathoides",NA,"DD","NT","N","2007"
"Falcatifolium sleumeri",NA,"DD","NT","N","2007"
"Hopea subalata","Giam","EN","CR","N","2007"
"Microbiota decussata",NA,"DD","LC","N","2007"
"Nageia fleuryi",NA,"DD","NT","N","2007"
"Pinus bhutanica",NA,"DD","LC","N","2007"
"Pinus bungeana",NA,"DD","LC","N","2007"
"Pinus dalatensis",NA,"VU","DD","N","2007"
"Pinus greggii",NA,"DD","NT","N","2007"
"Podocarpus acuminatus",NA,"DD","NT","N","2007"
"Podocarpus atjehensis",NA,"DD","NT","N","2007"
"Podocarpus barretoi",NA,"DD","NT","N","2007"
"Podocarpus borneensis",NA,"DD","LC","N","2007"
"Podocarpus capuronii",NA,"DD","EN","N","2007"
"Podocarpus costaricensis",NA,"DD","VU","N","2007"
"Podocarpus deflexus",NA,"DD","EN","N","2007"
"Podocarpus dispermus",NA,"DD","NT","N","2007"
"Podocarpus globulus",NA,"DD","EN","N","2007"
"Podocarpus guatemalensis",NA,"DD","LC","N","2007"
"Podocarpus humbertii",NA,"DD","EN","N","2007"
"Podocarpus lambertii",NA,"DD","NT","N","2007"
"Podocarpus laubenfelsii",NA,"DD","EN","N","2007"
"Podocarpus longifoliolatus",NA,"LR/lc","EN","N","2007"
"Podocarpus matudae",NA,"DD","NT","N","2007"
"Podocarpus palawanensis",NA,"DD","CR","N","2007"
"Podocarpus pallidus",NA,"DD","VU","N","2007"
"Podocarpus pendulifolius",NA,"DD","EN","N","2007"
"Podocarpus perrieri",NA,"DD","CR","N","2007"
"Ptychosperma bleeseri",NA,"CR","NR","synonym of P. macarthurii","2007"
"Gulo gulo","Wolverine","VU","NT","G","2008"
"Mustela nigripes","Black-footed Ferret","EW","EN","G","2008"
"Arctocephalus philippii","Juan Fernández Fur Seal","VU","NT","G","2008"
"Arctocephalus townsendi","Guadalupe Fur Seal","VU","NT","G","2008"
"Balaena mysticetus","Bowhead Whale","LR/cd","LC","G","2008"
"Eubalaena australis","Southern Right Whale","LR/cd","LC","G","2008"
"Megaptera novaeangliae","Humpback Whale","VU","LC","G","2008"
"Bison bonasus","European Bison","EN","VU","G","2008"
"Capra pyrenaica","Spanish Ibex","LR/nt","LC","G","2008"
"Capra walie","Walia Ibex","CR","EN","G","2008"
"Procapra przewalskii","Przewalski's Gazelle","CR","EN","G","2008"
"Rupicapra pyrenaica","Pyrenean Chamoix","LR/cd","LC","G","2008"
"Eschrichtius robustus","Gray Whale","LR/cd","LC","G","2008"
"Pteropus dasymallus","Ryukyu Flying Fox","EN","NT","G","2008"
"Pteropus molossinus","Pohnpei Flying Fox","CR","VU","G","2008"
"Pteropus samoensis","Samoan Flying Fox","VU","NT","G","2008"
"Corynorhinus rafinesquii","Rafinesque's Big-eared Bat","VU","LC","G","2008"
"Corynorhinus townsendii","Townsend's Big-eared Bat","VU","LC","G","2008"
"Myotis emarginatus","Geoffroy's Bat","VU","LC","G","2008"
"Myotis grisescens","Gray Myotis","EN","NT","G","2008"
"Dasyurus geoffroii","Western Quoll","VU","NT","G","2008"
"Dendrolagus lumholtzi","Lumholtz's Tree Kangaroo","LR/nt","LC","G","2008"
"Macropus irma","Western Brush Wallaby","LR/nt","LC","G","2008"
"Bettongia lesueur","Burrowing Bettong","VU","NT","G","2008"
"Pseudochirulus cinereus","Daintree River Ringtail Possum","LR/nt","LC","G","2008"
"Pseudochirulus herbertensis","Herbert River Ringtail Possum","LR/nt","LC","G","2008"
"Equus ferus","Wild Horse","EW","CR","G","2008"
"Equus zebra","Mountain Zebra","EN","VU","G","2008"
"Rhinoceros unicornis","Indian Rhinoceros","EN","VU","G","2008"
"Leontopithecus chrysopygus","Black Lion Tamarin","CR","EN","G","2008"
"Loxodonta africana","African Elephant","VU","NT","G","2008"
"Castor fiber","Eurasian Beaver","NT","LC","G","2008"
"Leporillus conditor","Greater Stick-nest Rat","EN","VU","G","2008"
"Pseudomys fieldi","Shark Bay Mouse","CR","VU","G","2008"
"Pseudomys occidentalis","Western Mouse","EN","LC","G","2008"
"Spermophilus suslicus","Speckled Ground Squirrel","VU","NT","G","2008"
"Spermophilus washingtoni","Washington Ground Squirrel","VU","NT","G","2008"
"Panthera pardus","Leopard","LC","NT","G","2008"
"Prionailurus planiceps","Flat-headed Cat","VU","EN","G","2008"
"Prionailurus viverrinus","Fishing Cat","VU","EN","G","2008"
"Spilogale pygmaea","Pygmy Spotted Skunk","LR/lc","VU","G","2008"
"Aonyx cinerea","Asian Small-Clawed Otter","NT","VU","G","2008"
"Mustela altaica","Altai Weasel","LR/lc","NT","G","2008"
"Vormela peregusna","Marbled Polecat","LR/lc","VU","G","2008"
"Arctocephalus galapagoensis","Galápagos Fur Seal","VU","EN","G","2008"
"Neophoca cinerea","Australian Sea Lion","LR/lc","EN","G","2008"
"Zalophus wollebaeki","Galápagos Sea Lion","VU","EN","G","2008"
"Monachus schauinslandi","Hawaiian Monk Seal","EN","CR","G","2008"
"Hemigalus derbyanus","Banded Civet","LR/lc","VU","G","2008"
"Paradoxurus zeylonensis","Golden Palm Civet","LR/lc","VU","G","2008"
"Cephalophus jentinki","Jentink's Duiker","VU","EN","G","2008"
"Kobus megaceros","Nile Lechwe","LR/nt","EN","G","2008"
"Axis kuhlii","Bawean Deer","EN","CR","G","2008"
"Hydropotes inermis","Chinese Water Deer","LR/nt","VU","G","2008"
"Rucervus eldii","Eld's Deer","VU","EN","G","2008"
"Rusa timorensis","Javan Rusa","LR/lc","VU","G","2008"
"Rusa unicolor","Sambar","LR/lc","VU","G","2008"
"Sus barbatus","Bearded Pig","LR/lc","VU","G","2008"
"Sus celebensis","Sulawesi Warty Pig","LR/lc","NT","G","2008"
"Tayassu pecari","White-Lipped Peccary","LR/lc","NT","G","2008"
"Amorphochilus schnablii","Smoky Bat","VU","EN","G","2008"
"Coelops robinsoni","Malayan Tailless Leaf-nosed Bat","LR/nt","VU","G","2008"
"Tadarida johorensis","Northern Free-tailed Bat","LR/nt","VU","G","2008"
"Tadarida mops","Malayan Free-tailed Bat","LR/lc","NT","G","2008"
"Nycteris tragata","Malayan Slit-faced Bat","LR/lc","NT","G","2008"
"Lonchorhina fernandezi","Fernandez's Sword-Nosed Bat","VU","EN","G","2008"
"Lonchorhina orinocensis","Orinoco Sword-Nosed Bat","LR/nt","VU","G","2008"
"Platyrrhinus chocoensis","Choco Broad-Nosed Bat","VU","EN","G","2008"
"Acerodon mackloti","Sunda Fruit Bat","LR/lc","VU","G","2008"
"Eidolon helvum","Straw-Coloured Fruit Bat","LC","NT","G","2008"
"Megaerops wetmorei","White-collared Fruit Bat","LR/lc","VU","G","2008"
"Pteropus caniceps","North Moluccan Flying Fox","LR/lc","NT","G","2008"
"Pteropus lylei","Lyle's Flying Fox","LR/lc","VU","G","2008"
"Pteropus melanopogon","Black-bearded Flying Fox","LR/lc","EN","G","2008"
"Pteropus niger","Mauritan Flying Fox","VU","EN","G","2008"
"Pteropus temminckii","Temminck's Flying Fox","LR/nt","VU","G","2008"
"Pteropus vampyrus","Large Flying-fox","LR/lc","NT","G","2008"
"Pteropus woodfordi","Dwarf Flying Fox","LR/lc","VU","G","2008"
"Rousettus bidens","Manado Rousette","LR/nt","VU","G","2008"
"Styloctenium wallacei","Stripe-faced Fruit Bat","LR/nt","VU","G","2008"
"Rhinolophus cognatus","Andaman Horseshoe Bat","VU","EN","G","2008"
"Rhinolophus sedulus","Lesser Wooly Horseshoe Bat","LR/lc","NT","G","2008"
"Corynorhinus mexicanus","Mexican Big-eared Bat","LR/lc","NT","G","2008"
"Hesperoptenus tomesi","Large False Serotine","LR/lc","VU","G","2008"
"Kerivoula pellucida","Clear-winged Woolly Bat","LR/lc","NT","G","2008"
"Murina aenea","Bronze Tube-nosed Bat","LR/nt","VU","G","2008"
"Murina rozendaali","Gilded Tube-nosed Bat","LR/nt","VU","G","2008"
"Phoniscus atrox","Groove-toothed Trumpet-eared Bat","LR/lc","NT","G","2008"
"Rhogeessa minutilla","Tiny Yellow Bat","LR/nt","VU","G","2008"
"Dasyurus hallucatus","Northern Quoll","LR/nt","EN","G","2008"
"Pseudantechinus bilarni","Sandstone Pseudantechinus","LR/lc","NT","G","2008"
"Sarcophilus harrisii","Tasmanian Devil","LR/lc","EN","G","2008"
"Myrmecobius fasciatus","Numbat","VU","EN","G","2008"
"Burramys parvus","Mountain Pygmy Possum","EN","CR","G","2008"
"Dendrolagus mbaiso","Dingiso","VU","CR","G","2008"
"Dendrolagus scottae","Tenkile","EN","CR","G","2008"
"Dorcopsis luctuosa","Grey Dorcopsis","LR/lc","VU","G","2008"
"Dorcopsulus vanheurni","Small Dorcopsis","LR/lc","NT","G","2008"
"Petaurus abidi","Northern Glider","VU","CR","G","2008"
"Phalanger lullulae","Woodlark Cuscus","LR/lc","EN","G","2008"
"Phalanger matanim","Telefomin Cuscus","EN","CR","G","2008"
"Spilocuscus kraemeri","Admiralty Cuscus","LR/lc","NT","G","2008"
"Spilocuscus rufoniger","Black-spotted Cuscus","EN","CR","G","2008"
"Bettongia penicillata","Woylie","LR/cd","CR","G","2008"
"Pseudochirops coronatus","Reclusive Ringtail","LR/lc","VU","G","2008"
"Ochotona iliensis","Ili Pika","VU","EN","G","2008"
"Equus hemionus","Asiatic Wild Ass","VU","EN","G","2008"
"Manis javanica","Sunda Pangolin","LR/nt","EN","G","2008"
"Manis pentadactyla","Chinese Pangolin","LR/nt","EN","G","2008"
"Saguinus niger","Black-handed Tamarin","LC","VU","G","2008"
"Macaca hecki","Heck's Macaque","LR/nt","VU","G","2008"
"Macaca nigra","Celebes Crested Macaque","EN","CR","G","2008"
"Macaca tonkeana","Tonkean Macaque","LR/nt","VU","G","2008"
"Presbytis melalophos","Sumatran Surili","LR/nt","EN","G","2008"
"Presbytis thomasi","Thomas’s Langur","LR/nt","VU","G","2008"
"Pygathrix cinerea","Grey-shanked Douc Langur","EN","CR","G","2008"
"Trachypithecus obscurus","Dusky Leaf-monkey","LR/lc","NT","G","2008"
"Hylobates agilis","Agile Gibbon","LR/nt","EN","G","2008"
"Hylobates albibarbis","Bornean White-bearded Gibbon","LR/nt","EN","G","2008"
"Hylobates klossii","Kloss’s Gibbon","VU","EN","G","2008"
"Hylobates lar","Lar Gibbon","LR/nt","EN","G","2008"
"Hylobates muelleri","Müller's Bornean Gibbon","LR/nt","EN","G","2008"
"Nomascus concolor","Black Crested Gibbon","EN","CR","G","2008"
"Symphalangus syndactylus","Siamang","LR/nt","EN","G","2008"
"Nycticebus coucang","Greater Slow Loris","LR/lc","VU","G","2008"
"Tarsius bancanus","Horsfield’s Tarsier","LR/lc","VU","G","2008"
"Abrothrix illuteus","Gray Grass Mouse","LR/lc","NT","G","2008"
"Abrothrix sanborni","Sanborn's Grass Mouse","LR/lc","NT","G","2008"
"Akodon latebricola","Ecuadorean Grass Mouse","LR/lc","VU","G","2008"
"Akodon surdus","Silent Grass Mouse","LR/lc","VU","G","2008"
"Arborimus longicaudus","Red Tree Vole","LR/lc","NT","G","2008"
"Arvicola sapidus","Southern Water Vole","LR/nt","VU","G","2008"
"Calomys hummelincki","Hummelinck's Vesper Mouse","LR/lc","VU","G","2008"
"Mesocricetus brandti","Brandt's Hamster","LR/lc","NT","G","2008"
"Microtus oaxacensis","Tarabundi Vole","LR/nt","EN","G","2008"
"Microtus quasiater","Japalapan Pine Vole","LR/lc","NT","G","2008"
"Microtus umbrosus","Zepoal Tepec Vole","LR/lc","EN","G","2008"
"Neotoma palatina","Bolano's Woodrat","LR/nt","VU","G","2008"
"Reithrodontomys microdon","Small-toothed Harvest Mouse","LR/nt","VU","G","2008"
"Reithrodontomys spectabilis","Cozumel Harvest Mouse","EN","CR","G","2008"
"Sigmodon alleni","Allen's Cotton Rat","LR/lc","VU","G","2008"
"Thomasomys hylophilus","Woodland Oldfield Mouse","LR/lc","EN","G","2008"
"Wilfredomys oenax","Greater Wilfred's Mouse","LR/lc","EN","G","2008"
"Xenomys nelsoni","Magedelena Wood Rat","LR/nt","EN","G","2008"
"Ctenomys australis","Southern Tuco-tuco","LR/lc","EN","G","2008"
"Allactaga vinogradovi","Vinogradov's Jerboa","LR/lc","NT","G","2008"
"Pappogeomys alcorni","Alcorn's Pocket Gopher","VU","CR","G","2008"
"Chaetodipus goldmani","Goldman's Pocket Mouse","LR/lc","VU","G","2008"
"Dipodomys nitratoides","Fresno Kangaroo Rat","LR/nt","VU","G","2008"
"Gerbillus gleadowi","Little Hairy-footed Gerbil","LR/lc","NT","G","2008"
"Maxomys rajah","Rajah Sundaic Maxomys","LR/lc","VU","G","2008"
"Maxomys whiteheadi","Whitehead’s Sundaic Maxomys","LR/lc","VU","G","2008"
"Nesokia bunnii","Bunn's Short-Tailed Bandicoot Rat","LR/nt","EN","G","2008"
"Niviventer cremoriventer","Sundaic Arboreal Niviventer","LR/lc","VU","G","2008"
"Pseudomys fumeus","Smoky Mouse","VU","EN","G","2008"
"Pseudomys novaehollandiae","New Holland Mouse","LR/lc","VU","G","2008"
"Rattus richardsoni","Glacier Rat","LR/lc","VU","G","2008"
"Solomys ponceleti","Poncelet's Giant Rat","EN","CR","G","2008"
"Solomys salebrosus","Bougainville Giant Rat","LR/nt","EN","G","2008"
"Solomys sapientis","Isabel Giant Rat","VU","EN","G","2008"
"Uromys neobritannicus","Bismarck Giant Rat","LR/lc","EN","G","2008"
"Zyzomys maini","Arnhem Land Rock Rat","LR/lc","NT","G","2008"
"Octodon bridgesi","Bridges's Degu","LR/lc","VU","G","2008"
"Octodon pacificus",NA,"VU","CR","G","2008"
"Callosciurus adamsi","Ear-spot Squirrel","LR/lc","VU","G","2008"
"Callosciurus melanogaster","Mentawai Squirrel","LR/lc","VU","G","2008"
"Marmota sibirica","Mongolian marmot","LR/lc","EN","G","2008"
"Marmota vancouverensis","Vancouver Island Marmot","EN","CR","G","2008"
"Petaurista nobilis","Bhutan Giant Flying Squirrel","LR/nt","VU","G","2008"
"Petinomys genibarbis","Whiskered Flying Squirrel","LR/lc","VU","G","2008"
"Petinomys lugens","Siberut Flying Squirrel","LR/nt","EN","G","2008"
"Petinomys setosus","Temminck's Flying Squirrel","LR/lc","VU","G","2008"
"Petinomys vordermanni","Vordermann's Flying Squirrel","LR/lc","VU","G","2008"
"Pteromyscus pulverulentus","Smoky Flying Squirrel","LR/nt","EN","G","2008"
"Ratufa bicolor","Black Giant Squirrel","LR/lc","NT","G","2008"
"Rhinosciurus laticaudatus","Shrew-faced Squirrel","LR/lc","NT","G","2008"
"Rubrisciurus rubriventer","Sulawesi Giant Squirrel","LR/lc","VU","G","2008"
"Spermophilus perotensis","Perote Ground Squirrel","LR/nt","EN","G","2008"
"Spermophilus xanthoprymnus","Asia Minor Ground Squirrel","LR/lc","NT","G","2008"
"Spalax arenarius","Sandy Mole Rate","VU","EN","G","2008"
"Spalax zemni","Podolian Mole Rat","LR/lc","VU","G","2008"
"Ducula galeata","Marquesan Imperial-pigeon","CR","EN","G","2008"
"Apteryx owenii","Little Spotted Kiwi","VU","NT","G","2008"
"Aythya baeri","Baer's Pochard","VU","EN","G","2008"
"Sterna nereis","Fairy Tern","LC","VU","G","2008"
"Eurynorhynchus pygmeus","Spoon-billed Sandpiper","EN","CR","G","2008"
"Numenius arquata","Eurasian Curlew","LC","NT","G","2008"
"Ducula finschii","Finsch's Imperial-pigeon","LC","NT","G","2008"
"Ducula rubricera","Red-knobbed Imperial-pigeon","LC","NT","G","2008"
"Reinwardtoena browni","Pied Cuckoo-dove","LC","NT","G","2008"
"Centropus violaceus","Violaceous Coucal","LC","NT","G","2008"
"Accipiter princeps","New Britain Goshawk","NT","VU","G","2008"
"Pauxi pauxi","Helmeted Curassow","VU","EN","G","2008"
"Tetrao mlokosiewiczi","Caucasian Grouse","DD","NT","G","2008"
"Atrichornis rufescens","Rufous Scrub-bird","NT","VU","G","2008"
"Coracina newtoni","Réunion Cuckooshrike","EN","CR","G","2008"
"Corvus kubaryi","Mariana Crow","EN","CR","G","2008"
"Loxops caeruleirostris","Akekee","EN","CR","G","2008"
"Stipiturus mallee","Mallee Emuwren","VU","EN","G","2008"
"Melidectes whitemanensis","Bismarck Melidectes","LC","NT","G","2008"
"Mimus trifasciatus","Floreana Mockingbird","EN","CR","G","2008"
"Megalurulus grosvenori","Bismarck Thicketbird","DD","VU","G","2008"
"Sylvia undata","Dartford Warbler","LC","NT","G","2008"
"Diomedea dabbenena","Tristan Albatross","EN","CR","G","2008"
"Cacatua ophthalmica","Blue-eyed Cockatoo","LC","VU","G","2008"
"Ninox odiosa","Russet Hawk-owl","LC","VU","G","2008"
"Tyto aurantia","Bismarck Masked-owl","DD","VU","G","2008"
"Crocodylus rhombifer","Cuban Crocodile","EN","CR","G","2008"
"Erymnochelys madagascariensis","Madagascar Big-headed Turtle","EN","CR","G","2008"
"Astrochelys radiata","Radiated Tortoise","VU","CR","G","2008"
"Astrochelys yniphora","Ploughshare Tortoise","EN","CR","G","2008"
"Pyxis arachnoides","Spider Tortoise","VU","CR","G","2008"
"Pyxis planicauda","Flat-tailed Tortoise","EN","CR","G","2008"
"Thorius macdougalli",NA,"EN","VU","G","2008"
"Incilius holdridgei",NA,"CR","EX","G","2008"
"Centrolene buckleyi",NA,"NT","VU","G","2008"
"Craugastor escoces",NA,"CR","EX","G","2008"
"Parvimolge townsendi",NA,"EN","CR","G","2008"
"Pseudoeurycea gigantea",NA,"EN","CR","G","2008"
"Pseudoeurycea juarezi",NA,"EN","CR","G","2008"
"Thorius munificus",NA,"EN","CR","G","2008"
"Hemiphlebia mirabilis","Ancient Greenling","VU","EN","G","2008"
"Gulo gulo","Wolverine","NT","LC","N","2009"
"Aceros narcondami","Narcondam Hornbill","VU","EN","N","2009"
"Acrocephalus aequinoctialis","Kiritimati Reed-warbler","LC","EN","N","2009"
"Acrocephalus luscinius","Nightingale Reed-warbler","EN","CR","G","2009"
"Amazilia castaneiventris","Chestnut-bellied Hummingbird","CR","EN","N","2009"
"Amazona vinacea","Vinaceous-breasted Amazon","VU","EN","N","2009"
"Anodorhynchus leari","Lear's Macaw","CR","EN","G","2009"
"Arborophila cambodiana","Chestnut-headed Partridge","VU","LC","N","2009"
"Arborophila davidi","Orange-necked Partridge","EN","NT","N","2009"
"Balearica regulorum","Grey Crowned-crane","LC","VU","G","2009"
"Camarhynchus pauper","Medium Tree-finch","VU","CR","N","2009"
"Capito quinticolor","Five-coloured Barbet","NT","VU","N","2009"
"Coracina analis","New Caledonian Cuckooshrike","LC","NT","N","2009"
