"name","year","category"
"Achatinella fuscobasis","1983","E"
"Achatinella juddii","1996","EX"
"Achatinella juddii","1994","Ex?"
"Achatinella juddii","1990","Ex"
"Achatinella juddii","1983","E"
"Achatinella juncea","1996","EX"
"Achatinella juncea","1994","Ex?"
"Achatinella juncea","1990","Ex"
"Achatinella juncea","1983","E"
"Achatinella lehuiensis","1996","EX"
"Achatinella lehuiensis","1994","Ex"
"Achatinella lehuiensis","1990","Ex"
"Achatinella lehuiensis","1983","E"
"Achatinella lila","1996","CR"
"Achatinella lila","1994","E"
"Achatinella lila","1990","E"
"Achatinella lila","1983","E"
"Achatinella livida","1996","EX"
"Achatinella livida","1994","Ex"
"Achatinella livida","1990","Ex"
"Achatinella livida","1983","E"
"Achatinella lorata","1996","CR"
"Achatinella lorata","1994","E"
"Achatinella lorata","1990","E"
"Achatinella lorata","1983","E"
"Achatinella mustelina","1996","CR"
"Achatinella mustelina","1994","E"
"Achatinella mustelina","1990","E"
"Achatinella mustelina","1983","E"
"Achatinella papyracea","1996","EX"
"Achatinella papyracea","1994","Ex"
"Achatinella papyracea","1990","Ex"
"Achatinella papyracea","1983","E"
"Achatinella phaeozona","1996","CR"
"Achatinella phaeozona","1994","E"
"Achatinella phaeozona","1990","Ex"
"Achatinella phaeozona","1983","E"
"Achatinella pulcherrima","1996","CR"
"Achatinella pulcherrima","1994","E"
"Achatinella pulcherrima","1990","E"
"Achatinella pulcherrima","1983","E"
"Achatinella pupukanioe","1996","CR"
"Achatinella pupukanioe","1994","E"
"Achatinella pupukanioe","1990","E"
"Achatinella pupukanioe","1983","E"
"Achatinella sowerbyana","1996","CR"
"Achatinella sowerbyana","1994","E"
"Achatinella sowerbyana","1990","E"
"Achatinella sowerbyana","1983","E"
"Achatinella spaldingi","1996","EX"
"Achatinella spaldingi","1994","Ex"
"Achatinella spaldingi","1990","Ex"
"Achatinella spaldingi","1983","E"
"Achatinella stewartii","1996","CR"
"Achatinella stewartii","1994","E"
"Achatinella stewartii","1990","Ex"
"Achatinella stewartii","1983","E"
"Achatinella swiftii","1996","CR"
"Achatinella swiftii","1994","E"
"Achatinella swiftii","1990","E"
"Achatinella swiftii","1983","E"
"Achatinella taeniolata","1996","CR"
"Achatinella taeniolata","1994","E"
"Achatinella taeniolata","1990","E"
"Achatinella taeniolata","1983","E"
"Achatinella thaanumi","1996","EX"
"Achatinella thaanumi","1994","Ex"
"Achatinella thaanumi","1990","Ex"
"Achatinella thaanumi","1983","E"
"Achatinella turgida","1996","CR"
"Achatinella turgida","1994","E"
"Achatinella turgida","1990","E"
"Achatinella turgida","1983","E"
"Achatinella valida","1996","EX"
"Achatinella valida","1994","Ex"
"Achatinella valida","1990","Ex"
