"name","result.year","result.code","result.category"
"Melicope nukuhivensis","1998","LR/nt","Lower Risk/near threatened"
"Melicope tahitensis","1998","LR/nt","Lower Risk/near threatened"
"Melicytus flexuosus","1998","LR/nt","Lower Risk/near threatened"
"Meliobba shafferyi","1996","LR/nt","Lower Risk/near threatened"
"Meliobba shafferyi","1994","R","Rare"
"Meriania crassiramis","1998","LR/nt","Lower Risk/near threatened"
"Meriania leucantha","1998","LR/nt","Lower Risk/near threatened"
"Meriania leucantha","1998","R","Rare"
"Meridolum marshalli","1996","LR/nt","Lower Risk/near threatened"
"Meridolum marshalli","1994","R","Rare"
"Meryta lanceolata","1998","LR/nt","Lower Risk/near threatened"
"Meryta lanceolata","1998","R","Rare"
"Mesoclemmys vanderhaegei","1996","LR/nt","Lower Risk/near threatened"
"Mesodontrachia fitzroyana","1996","LR/nt","Lower Risk/near threatened"
"Mesodontrachia fitzroyana","1994","R","Rare"
"Miconia abbreviata","1998","LR/nt","Lower Risk/near threatened"
"Miconia bailloniana","1998","LR/nt","Lower Risk/near threatened"
"Miconia silicicola","1998","LR/nt","Lower Risk/near threatened"
"Miconia superba","1998","LR/nt","Lower Risk/near threatened"
"Micropholis casiquiarensis","1998","LR/nt","Lower Risk/near threatened"
"Micropholis casiquiarensis","1998","R","Rare"
"Micropholis cylindrocarpa","1998","LR/nt","Lower Risk/near threatened"
"Micropholis cylindrocarpa","1998","R","Rare"
"Micropholis garciniifolia","1998","LR/nt","Lower Risk/near threatened"
"Micropholis garciniifolia","1998","R","Rare"
"Micropholis gnaphaloclados","1998","LR/nt","Lower Risk/near threatened"
"Micropholis gnaphaloclados","1998","R","Rare"
"Micropholis humboldtiana","1998","LR/nt","Lower Risk/near threatened"
"Micropholis humboldtiana","1998","R","Rare"
"Micropholis madeirensis","1998","LR/nt","Lower Risk/near threatened"
"Micropholis madeirensis","1998","R","Rare"
"Micropholis maguirei","1998","LR/nt","Lower Risk/near threatened"
"Micropholis maguirei","1998","R","Rare"
"Micropholis rugosa","1998","LR/nt","Lower Risk/near threatened"
"Micropholis rugosa","1998","R","Rare"
"Micropholis splendens","1998","LR/nt","Lower Risk/near threatened"
"Micropholis splendens","1998","R","Rare"
