"name","result.year","state","TSFO","change.status"
"Ablepharus kitaibelii",2017,1,11,NA
"Abrocoma bennettii",1996,1,0,NA
"Abrocoma bennettii",2008,1,12,NA
"Abrocoma bennettii",2016,1,20,NA
"Abrocoma boliviensis",1996,3,0,NA
"Abrocoma boliviensis",2008,5,12,"N"
"Abrocoma boliviensis",2016,5,20,NA
"Abrocoma budini",2008,0,0,NA
"Abrocoma budini",2016,0,8,NA
"Abrocoma cinerea",1996,1,0,NA
"Abrocoma cinerea",2008,1,12,NA
"Abrocoma cinerea",2016,1,20,NA
"Abrocoma famatina",2008,0,0,NA
"Abrocoma famatina",2016,0,8,NA
"Abrocoma shistacea",2008,0,0,NA
"Abrocoma shistacea",2016,1,8,"N"
"Abrocoma uspallata",2008,0,0,NA
"Abrocoma uspallata",2016,0,8,NA
"Abrocoma vaccarum",2008,0,0,NA
"Abrocoma vaccarum",2016,0,8,NA
"Abronia matudai",2007,4,0,NA
"Abronia matudai",2013,4,6,NA
"Abronia montecristoi",1994,4,0,NA
"Abronia montecristoi",1996,5,2,NA
"Abronia montecristoi",2013,4,19,"N"
"Abronia ochoterenai",2007,0,0,NA
"Abronia ochoterenai",2013,0,6,NA
"Abroscopus albogularis",1994,1,0,NA
"Abroscopus albogularis",2000,1,6,NA
"Abroscopus albogularis",2004,1,10,NA
"Abroscopus albogularis",2008,1,14,NA
"Abroscopus albogularis",2009,1,15,NA
"Abroscopus albogularis",2012,1,18,NA
"Abroscopus albogularis",2016,1,22,NA
"Abroscopus schisticeps",1994,1,0,NA
"Abroscopus schisticeps",2000,1,6,NA
"Abroscopus schisticeps",2004,1,10,NA
"Abroscopus schisticeps",2008,1,14,NA
"Abroscopus schisticeps",2009,1,15,NA
"Abroscopus schisticeps",2012,1,18,NA
"Abroscopus schisticeps",2016,1,22,NA
"Abroscopus superciliaris",1994,1,0,NA
"Abroscopus superciliaris",2000,1,6,NA
"Abroscopus superciliaris",2004,1,10,NA
"Abroscopus superciliaris",2008,1,14,NA
"Abroscopus superciliaris",2009,1,15,NA
"Abroscopus superciliaris",2012,1,18,NA
"Abroscopus superciliaris",2016,1,22,NA
"Abrothrix andinus",1996,1,0,NA
"Abrothrix andinus",2008,1,12,NA
"Abrothrix andinus",2016,1,20,NA
"Abrothrix illutea",1996,1,0,NA
"Abrothrix illutea",2008,2,12,"N"
"Abrothrix illutea",2016,1,20,"N"
"Abrothrix jelskii",1996,1,0,NA
"Abrothrix jelskii",2008,1,12,NA
"Abrothrix jelskii",2016,1,20,NA
"Abrothrix lanosus",1996,1,0,NA
"Abrothrix lanosus",2008,1,12,NA
"Abrothrix lanosus",2016,1,20,NA
"Abrothrix longipilis",1996,1,0,NA
"Abrothrix longipilis",2008,1,12,NA
"Abrothrix longipilis",2016,1,20,NA
"Abrothrix olivaceus",1996,1,0,NA
"Abrothrix olivaceus",2008,1,12,NA
"Abrothrix olivaceus",2017,1,21,NA
"Abrothrix sanborni",1996,1,0,NA
"Abrothrix sanborni",2008,2,12,"G"
"Aburria aburri",1994,2,0,NA
"Aburria aburri",2000,2,6,NA
"Aburria aburri",2004,2,10,NA
"Aburria aburri",2008,2,14,NA
"Aburria aburri",2012,2,18,NA
"Aburria aburri",2016,2,22,NA
"Acacia ankokib",1998,2,0,NA
"Acacia ankokib",2012,3,14,"N"
"Acacia koaia",1998,1,0,NA
"Acacia koaia",1998.5,3,0.5,NA
"Acacia koaia",2003,3,5,NA
"Acacia mathuataensis",1998,5,0,NA
"Acacia mathuataensis",2016,4,18,"N"
"Acacia pennivenia",1998,3,0,NA
"Acacia pennivenia",2004,2,6,NA
"Acacia richii",1998,1,0,NA
"Acacia richii",2016,1,18,NA
"Acacia torrei",2012,0,0,NA
"Acacia torrei",2014,1,2,"N"
"Acaena exigua",2003,7,0,NA
"Acaena exigua",2016,7,13,NA
"Acalypha rubrinervis",1998,7,0,NA
"Acalypha rubrinervis",2016,7,18,NA
"Acalypha wilderi",1998,4,0,NA
"Acalypha wilderi",2014,7,16,"N"
"Acanthaeschna victoria",1996,3,0,NA
"Acanthaeschna victoria",2017,4,21,"N"
"Acanthagenys rufogularis",1994,1,0,NA
"Acanthagenys rufogularis",2000,1,6,NA
"Acanthagenys rufogularis",2004,1,10,NA
"Acanthagenys rufogularis",2008,1,14,NA
"Acanthagenys rufogularis",2009,1,15,NA
"Acanthagenys rufogularis",2012,1,18,NA
"Acanthagenys rufogularis",2016,1,22,NA
"Acanthagrion hartei",2009,0,0,NA
"Acanthagrion hartei",2016,0,7,NA
"Acanthagrion peruanum",2009,0,0,NA
"Acanthagrion peruanum",2016,1,7,"N"
"Acanthametropus pecatonica",1994,7,0,NA
"Acanthametropus pecatonica",1996,7,2,NA
"Acanthastrea brevis",2008,3,0,NA
"Acanthastrea brevis",2014,3,6,NA
"Acanthastrea echinata",2008,1,0,NA
"Acanthastrea echinata",2014,1,6,NA
"Acanthastrea hillae",2008,2,0,NA
"Acanthastrea hillae",2014,2,6,NA
"Acanthastrea ishigakiensis",2008,3,0,NA
"Acanthastrea ishigakiensis",2014,3,6,NA
"Acanthastrea regularis",2008,3,0,NA
"Acanthastrea regularis",2014,3,6,NA
"Acanthastrea rotundoflora",2008,2,0,NA
"Acanthastrea rotundoflora",2014,2,6,NA
"Acanthemblemaria harpeza",2014,3,0,NA
"Acanthemblemaria harpeza",2015,0,1,"N"
"Acanthemblemaria paula",2014,3,0,NA
"Acanthemblemaria paula",2015,0,1,"N"
"Acanthidops bairdi",1994,2,0,NA
"Acanthidops bairdi",2000,1,6,NA
"Acanthidops bairdi",2004,1,10,NA
"Acanthidops bairdi",2008,1,14,NA
"Acanthidops bairdi",2009,1,15,NA
"Acanthidops bairdi",2012,1,18,NA
"Acanthidops bairdi",2016,1,22,NA
"Acanthinula spinifera",1996,0,0,NA
"Acanthinula spinifera",2011,0,15,NA
"Acanthis flammea",2012,1,0,NA
"Acanthis flammea",2013,1,1,NA
"Acanthis flammea",2016,1,4,NA
"Acanthisitta chloris",1994,1,0,NA
"Acanthisitta chloris",2000,1,6,NA
"Acanthisitta chloris",2004,1,10,NA
"Acanthisitta chloris",2008,1,14,NA
"Acanthisitta chloris",2009,1,15,NA
"Acanthisitta chloris",2012,1,18,NA
"Acanthisitta chloris",2016,1,22,NA
"Acanthisitta chloris",2017,1,23,NA
"Acanthixalus sonjae",2004,4,0,NA
"Acanthixalus sonjae",2006,2,2,NA
"Acanthixalus spinosus",2004,1,0,NA
"Acanthixalus spinosus",2013,1,9,NA
