"name","result.year","result.code","result.category"
"Beilschmiedia ugandensis","1998","VU","Vulnerable"
"Beilschmiedia vermoesenii","1998","R","Rare"
"Beilschmiedia vermoesenii","1998","VU","Vulnerable"
"Belairia parvifolia","1998","I","Indeterminate"
"Belairia parvifolia","1998","VU","Vulnerable"
"Belgrandia gibberula","2010","VU","Vulnerable"
"Belgrandia silviae","2011","VU","Vulnerable"
"Belgrandia torifera","2011","VU","Vulnerable"
"Belgrandiella bulgarica","2010","VU","Vulnerable"
"Belgrandiella bureschi","2010","VU","Vulnerable"
"Belgrandiella edessana","2014","VU","Vulnerable"
"Belgrandiella edessana","2011","VU","Vulnerable"
"Belgrandiella fuchsi","2010","VU","Vulnerable"
"Belgrandiella fuchsi","1996","VU","Vulnerable"
"Belgrandiella fuchsi","1994","E","Endangered"
"Belgrandiella pusilla","2010","VU","Vulnerable"
"Belocephalus micanopy","1996","VU","Vulnerable"
"Belocephalus micanopy","1994","I","Indeterminate"
"Belocephalus micanopy","1990","I","Indeterminate"
"Belocephalus micanopy","1988","I","Indeterminate"
"Belocephalus micanopy","1986","I","Indeterminate"
"Belocephalus sleighti","1996","VU","Vulnerable"
"Belocephalus sleighti","1994","I","Indeterminate"
"Belocephalus sleighti","1990","I","Indeterminate"
"Belocephalus sleighti","1988","I","Indeterminate"
"Belocephalus sleighti","1986","I","Indeterminate"
"Belonophora talbotii","1998","VU","Vulnerable"
"Belostemma yunnanense","2004","VU","Vulnerable"
"Benitochromis batesii","2010","VU","Vulnerable"
"Benitochromis batesii","2009","LC","Least Concern"
"Bennettiodendron cordatum","1998","VU","Vulnerable"
"Benthamia perularioides","2015","VU","Vulnerable"
"Benthobatis kreffti","2004","VU","Vulnerable"
"Benthobatis yangi","2009","VU","Vulnerable"
"Bentinckia condapanna","1998","VU","Vulnerable"
"Berberis candidula","2004","VU","Vulnerable"
"Berberis dryandriphylla","1998","VU","Vulnerable"
"Berberis iliensis","2007","VU","Vulnerable"
"Berberis iliensis","1998","R","Rare"
"Berberis johannis","2004","VU","Vulnerable"
"Berberis pindilicensis","2003","VU","Vulnerable"
"Berberis silvicola","2004","VU","Vulnerable"
"Berberis taronensis","2004","VU","Vulnerable"
"Berberis woomungensis","2004","VU","Vulnerable"
"Berberis xanthophloea","2004","VU","Vulnerable"
"Beringraja pulchra","2009","VU","Vulnerable"
"Berlinia occidentalis","1998","V","Vulnerable"
"Berlinia occidentalis","1998","VU","Vulnerable"
"Berlinia orientalis","1998","VU","Vulnerable"
"Bersama rosea","1998","I","Indeterminate"
"Bersama rosea","1998","VU","Vulnerable"
"Bertholletia excelsa","1998","VU","Vulnerable"
"Bertiera pauloi","1998","VU","Vulnerable"
"Berula bracteata","2016","VU","Vulnerable"
"Berula bracteata","2003","VU","Vulnerable"
"Besleria seitzii","2017","VU","Vulnerable"
"Beta nana","2011","VU","Vulnerable"
"Betta burdigala","1996","VU","Vulnerable"
"Betta chini","1996","VU","Vulnerable"
"Betta chloropharynx","1996","VU","Vulnerable"
"Betta hipposideros","1996","VU","Vulnerable"
"Betta macrostoma","1996","VU","Vulnerable"
"Betta pinguis","2009","VU","Vulnerable"
"Betta splendens","2011","VU","Vulnerable"
"Betta tomi","1996","VU","Vulnerable"
"Bhesa ceylanica","1998","R","Rare"
"Bhesa ceylanica","1998","VU","Vulnerable"
"Bhutanitis ludlowi","1996","VU","Vulnerable"
"Bhutanitis ludlowi","1994","K","Insufficiently Known"
"Bhutanitis ludlowi","1990","K","Insufficiently Known"
"Bhutanitis ludlowi","1988","K","Insufficiently Known"
"Bhutanitis ludlowi","1986","K","Insufficiently Known"
"Bhutanitis ludlowi","1985","K","Insufficiently Known"
"Biatas nigropectus","2017","VU","Vulnerable"
"Biatas nigropectus","2016","VU","Vulnerable"
"Biatas nigropectus","2012","VU","Vulnerable"
"Biatas nigropectus","2008","VU","Vulnerable"
"Biatas nigropectus","2004","VU","Vulnerable"
"Biatas nigropectus","2000","VU","Vulnerable"
"Biatas nigropectus","1996","VU","Vulnerable"
"Biatas nigropectus","1994","VU","Vulnerable"
"Biatas nigropectus","1988","T","Threatened"
"Bidens amplectens","2003","VU","Vulnerable"
"Bidens campylotheca","2003","VU","Vulnerable"
"Bidens conjuncta","2003","VU","Vulnerable"
"Bidens eatonii","2016","VU","Vulnerable"
"Bidens mannii","2004","VU","Vulnerable"
"Bidens micrantha","2016","VU","Vulnerable"
"Bidens molokaiensis","2003","VU","Vulnerable"
"Bidens occidentalis","2017","VU","Vulnerable"
"Bidens populifolia","2003","VU","Vulnerable"
"Bidyanus bidyanus","1996","VU","Vulnerable"
"Biondia chinensis","2004","VU","Vulnerable"
"Biophytum heinrichsae","2004","VU","Vulnerable"
"Bironides teuchestes","2009","VU","Vulnerable"
"Bison bonasus","2008","VU","Vulnerable"
"Bison bonasus","2000","EN","Endangered"
"Bison bonasus","1996","EN","Endangered"
"Bison bonasus","1994","V","Vulnerable"
"Bison bonasus","1990","V","Vulnerable"
"Bison bonasus","1988","V","Vulnerable"
"Bison bonasus","1965",NA,"""Very rare but believed to be stable or increasing"""
"Bithynia badiella","2012","VU","Vulnerable"
"Bithynia yildirimii","2014","VU","Vulnerable"
"Bitis armata","2017","VU","Vulnerable"
"Bitis schneideri","1996","VU","Vulnerable"
"Bitis schneideri","1994","K","Insufficiently Known"
"Blaesodactylus boivini","2011","VU","Vulnerable"
"Blakea campii","2004","VU","Vulnerable"
"Blakea harlingii","2004","VU","Vulnerable"
"Blakea hispida","2004","VU","Vulnerable"
"Blakea madisonii","2004","VU","Vulnerable"
"Blakea oldemanii","2004","VU","Vulnerable"
"Blakea oldemanii","1998","R","Rare"
"Blakea oldemanii","1998","VU","Vulnerable"
"Blakea pichinchensis","2004","VU","Vulnerable"
"Blakea rotundifolia","2004","VU","Vulnerable"
"Blastocerus dichotomus","2016","VU","Vulnerable"
"Blastocerus dichotomus","2008","VU","Vulnerable"
"Blastocerus dichotomus","2002","VU","Vulnerable"
"Blastocerus dichotomus","1996","VU","Vulnerable"
"Blastocerus dichotomus","1994","V","Vulnerable"
"Blastocerus dichotomus","1990","V","Vulnerable"
"Blastocerus dichotomus","1988","V","Vulnerable"
"Blastocerus dichotomus","1986","V","Vulnerable"
"Blastocerus dichotomus","1982","V","Vulnerable"
"Blechnum eburneum","2004","VU","Vulnerable"
"Blechnum monomorphum","2003","VU","Vulnerable"
"Blechnum sodiroi","2003","VU","Vulnerable"
"Blepharis chrysotricha","2015","VU","Vulnerable"
"Blepharis dhofarensis","1998","VU","Vulnerable"
"Blepharispermum hirtum","1998","VU","Vulnerable"
"Blepharis petraea","2015","VU","Vulnerable"
"Blepharis pratensis","2015","VU","Vulnerable"
"Blepharis spiculifolia","2004","VU","Vulnerable"
"Blepharis turkanae","2015","VU","Vulnerable"
"Blepharis uzondoensis","2015","VU","Vulnerable"
"Bobea sandwicensis","2003","VU","Vulnerable"
"Bobea sandwicensis","1998","V","Vulnerable"
"Bobea sandwicensis","1998","VU","Vulnerable"
"Bodianus scrofa","2010","VU","Vulnerable"
"Boeckella bispinosa","1996","VU","Vulnerable"
"Boeckella calcaris","1996","VU","Vulnerable"
"Boeckella geniculata","1996","VU","Vulnerable"
"Boeckella nyoraensis","1996","VU","Vulnerable"
"Boeckella nyoraensis","1994","R","Rare"
"Boeckella shieli","1996","VU","Vulnerable"
"Boehmantis microtympanum","2016","VU","Vulnerable"
"Boehmantis microtympanum","2008","EN","Endangered"
"Boehmantis microtympanum","2004","EN","Endangered"
"Bohadschia maculisparsa","2013","VU","Vulnerable"
"Bokermannohyla vulcaniae","2008","VU","Vulnerable"
"Bolbitis riparia","2003","VU","Vulnerable"
"Bolbometopon muricatum","2012","VU","Vulnerable"
"Bolbometopon muricatum","2007","VU","Vulnerable"
"Bolborhynchus ferrugineifrons","2016","VU","Vulnerable"
"Bolborhynchus ferrugineifrons","2012","VU","Vulnerable"
"Bolborhynchus ferrugineifrons","2008","VU","Vulnerable"
"Bolborhynchus ferrugineifrons","2004","VU","Vulnerable"
"Bolborhynchus ferrugineifrons","2000","EN","Endangered"
"Bolborhynchus ferrugineifrons","1996","EN","Endangered"
"Bolborhynchus ferrugineifrons","1994","EN","Endangered"
"Bolborhynchus ferrugineifrons","1988","T","Threatened"
"Boleana umbilicata","2010","VU","Vulnerable"
"Bolitoglossa chica","2004","VU","Vulnerable"
"Bolitoglossa diminuta","2008","VU","Vulnerable"
"Bolitoglossa diminuta","2004","VU","Vulnerable"
"Bolitoglossa gracilis","2008","VU","Vulnerable"
"Bolitoglossa gracilis","2004","VU","Vulnerable"
"Bolitoglossa guaneae","2017","VU","Vulnerable"
"Bolitoglossa guaramacalensis","2004","VU","Vulnerable"
"Bolitoglossa insularis","2013","VU","Vulnerable"
"Bolitoglossa lignicolor","2008","VU","Vulnerable"
"Bolitoglossa lignicolor","2004","VU","Vulnerable"
"Bolitoglossa medemi","2008","VU","Vulnerable"
"Bolitoglossa medemi","2004","VU","Vulnerable"
"Bolitoglossa mombachoensis","2008","VU","Vulnerable"
"Bolitoglossa mombachoensis","2004","VU","Vulnerable"
"Bolitoglossa mulleri","2008","VU","Vulnerable"
"Bolitoglossa mulleri","2004","VU","Vulnerable"
"Bolitoglossa obscura","2006","VU","Vulnerable"
"Bolitoglossa orestes","2004","VU","Vulnerable"
"Bolitoglossa palmata","2004","VU","Vulnerable"
"Bolitoglossa pesrubra","2008","VU","Vulnerable"
"Bolitoglossa pesrubra","2004","VU","Vulnerable"
"Bolitoglossa rostrata","2008","VU","Vulnerable"
"Bolitoglossa rostrata","2004","VU","Vulnerable"
"Bolitoglossa sima","2004","VU","Vulnerable"
"Bolitoglossa sombra","2006","VU","Vulnerable"
