"name","before","after","N/G","year","state1","state2","result.year"
"Cephalophus spadix","VU","EN","G","2007",3,4,2007
"Gazella spekei","VU","EN","G","2007",3,4,2007
"Gorilla gorilla","EN","CR","G","2007",4,5,2007
"Lipotes vexillifer","CR","CR (PE)","G","2007",5,5,2007
"Mazama chunyi","DD","VU","N","2007",0,3,2007
"Procapra picticaudata","LC","NT","G","2007",1,2,2007
"Ardea insignis","EN","CR","N","2007",4,5,2007
"Aythya innotata","CR (PE)","CR","N","2007",5,5,2007
"Brachypteryx hyperythra","VU","NT","N","2007",3,2,2007
"Branta ruficollis","VU","EN","G","2007",3,4,2007
"Charadrius pallidus","LC","NT","N","2007",1,2,2007
"Charadrius sanctaehelenae","VU","CR","G","2007",3,5,2007
"Chthonicola sagittatus","NT","LC","N","2007",2,1,2007
"Cinclodes pabsti","LC","NT","N","2007",1,2,2007
"Coeligena orina","LC","CR","N","2007",1,5,2007
"Corvus unicolor","CR (PE)","CR","N","2007",5,5,2007
"Euphagus carolinus","LC","VU","N","2007",1,3,2007
"Eurystomus azureus","VU","NT","N","2007",3,2,2007
"Ficedula henrici","VU","NT","N","2007",3,2,2007
"Francolinus streptophorus","LC","NT","N","2007",1,2,2007
"Gallicolumba crinigera","EN","VU","N","2007",4,3,2007
"Garrulax courtoisi","LC","CR","N","2007",1,5,2007
"Gypopsitta pyrilia","VU","NT","N","2007",3,2,2007
"Gyps africanus","LC","NT","N","2007",1,2,2007
"Gyps rueppellii","LC","NT","N","2007",1,2,2007
"Heteromirafra sidamoensis","VU","EN","N","2007",3,4,2007
"Heteromunia pectoralis","NT","LC","N","2007",2,1,2007
"Houbaropsis bengalensis","EN","CR","G","2007",4,5,2007
"Macroagelaius subalaris","CR","EN","N","2007",5,4,2007
"Macronectes giganteus","VU","NT","N","2007",3,2,2007
"Melamprosops phaeosoma","CR","CR (PE)","N","2007",5,5,2007
"Neophron percnopterus","LC","EN","G","2007",1,4,2007
"Oxyura maccoa","LC","NT","N","2007",1,2,2007
"Pelecanus philippensis","VU","NT","N","2007",3,2,2007
"Penelopina nigra","NT","VU","N","2007",2,3,2007
"Phapitreron cinereiceps","CR","EN","N","2007",5,4,2007
"Phoebastria irrorata","VU","CR","G","2007",3,5,2007
"Procellaria conspicillata","CR","VU","N","2007",5,3,2007
"Psittacula eques","CR","EN","G","2007",5,4,2007
"Psittacus erithacus","LC","NT","N","2007",1,2,2007
"Sarcogyps calvus","LC","VU","G","2007",1,3,2007
"Sheppardia gunningi","VU","NT","N","2007",3,2,2007
"Siphonorhis brewsteri","DD","NT","N","2007",0,2,2007
"Trigonoceps occipitalis","LC","VU","N","2007",1,3,2007
"Aspidoscelis hyperythra","DD","LC","N","2007",0,1,2007
"Gavialis gangeticus","EN","CR","G","2007",4,5,2007
"Heloderma horridum","VU","LC","N","2007",3,1,2007
"Heloderma suspectum","VU","NT","N","2007",3,2,2007
"Kinosternon creaseri","LR/nt","LC","N","2007",2,1,2007
"Kinosternon oaxacae","LR/nt","DD","N","2007",2,0,2007
"Rhinoclemmys rubida","VU","NT","N","2007",3,2,2007
"Thamnophis hammondii","DD","LC","N","2007",0,1,2007
"Xantusia riversiana","VU","LC","N","2007",3,1,2007
"Serranochromis meridianus","LR/cd","EN","G","2007",2,4,2007
"Sphyrna mokarran","DD","EN","N","2007",0,4,2007
"Squatina aculeata","EN","CR","N","2007",4,5,2007
"Squatina guggenheim","VU","EN","N","2007",3,4,2007
"Squatina oculata","EN","CR","N","2007",4,5,2007
"Croilia mossambica","LR/nt","LC","N","2007",2,1,2007
"Barbus andrewi","VU","EN","N","2007",3,4,2007
"Barbus brevipinnis","VU","NT","N","2007",3,2,2007
"Barbus calidus","EN","VU","N","2007",4,3,2007
"Barbus hospes","LR/nt","LC","N","2007",2,1,2007
"Barbus treurensis","LR/cd","EN","N","2007",2,4,2007
"Barbus trevelyani","CR","EN","N","2007",5,4,2007
"Labeo seeberi","CR","EN","N","2007",5,4,2007
"Opsaridium peringueyi","VU","LC","N","2007",3,1,2007
"Pseudobarbus afer","LR/nt","EN","N","2007",2,4,2007
"Pseudobarbus asper","VU","EN","N","2007",3,4,2007
"Pseudobarbus burchelli","EN","CR","N","2007",4,5,2007
"Pseudobarbus burgi","CR","EN","N","2007",5,4,2007
"Pseudobarbus quathlambae","CR","EN","N","2007",5,4,2007
"Pseudobarbus tenuis","EN","NT","N","2007",4,2,2007
"Nothobranchius kafuensis","EN","LC","N","2007",4,1,2007
"Nothobranchius kirki","DD","LC","N","2007",0,1,2007
"Nothobranchius orthonotus","VU","LC","N","2007",3,1,2007
"Sandelia capensis","LR/lc","DD","N","2007",1,0,2007
"Chetia brevis","VU","EN","N","2007",3,4,2007
"Redigobius dewaali","LR/nt","LC","N","2007",2,1,2007
"Silhouettea sibayi","LR/nt","EN","N","2007",2,4,2007
"Cromileptes altivelis","DD","VU","N","2007",0,3,2007
"Mycteroperca jordani","VU","EN","N","2007",3,4,2007
"Galaxias zebratus","LR/nt","DD","N","2007",2,0,2007
"Austroglanis barnardi","CR","EN","N","2007",5,4,2007
"Austroglanis sclateri","DD","LC","N","2007",0,1,2007
"Chiloglanis bifurcus","CR","EN","N","2007",5,4,2007
"Aciagrion heterosticta","LC","DD","N","2007",1,0,2007
"Aeshna persephone","VU","LC","N","2007",3,1,2007
"Africallagma cuneistigma","EN","VU","N","2007",4,3,2007
"Anoglypta launcestonensis","VU","NT","N","2007",3,2,2007
"Bellamya monardi","EN","NT","N","2007",4,2,2007
"Biomphalaria angulosa","LR/nt","LC","N","2007",2,1,2007
"Biomphalaria salinarum","LR/nt","DD","N","2007",2,0,2007
"Bulinus canescens","LR/nt","LC","N","2007",2,1,2007
"Discocharopa mimosa","DD","LC","N","2007",0,1,2007
"Ecchlorolestes nylephtha","LC","NT","N","2007",1,2,2007
"Enallagma recurvatum","VU","LC","N","2007",3,1,2007
"Gomphus consanguis","VU","EN","N","2007",3,4,2007
"Gomphus sandrius","EN","VU","N","2007",4,3,2007
"Gomphus septima","VU","LC","N","2007",3,1,2007
"Ischnura gemina","EN","VU","N","2007",4,3,2007
"Lanistes neavei","VU","LC","N","2007",3,1,2007
"Metacnemis angusta","DD","VU","N","2007",0,3,2007
"Nehalennia pallidula","VU","NT","N","2007",3,2,2007
"Neurogomphus dissimilis","LC","DD","N","2007",1,0,2007
"Notogomphus zernyi","LC","DD","N","2007",1,0,2007
"Ophiogomphus acuminatus","VU","NT","N","2007",3,2,2007
"Ophiogomphus anomalus","LR/nt","LC","N","2007",2,1,2007
"Ophiogomphus howei","VU","LC","N","2007",3,1,2007
"Paragomphus cataractae","VU","NT","N","2007",3,2,2007
"Pila occidentalis","LR/nt","LC","N","2007",2,1,2007
"Planilaoma luckmanii","DD","LC","N","2007",0,1,2007
"Progomphus bellei","VU","NT","N","2007",3,2,2007
"Somatochlora hineana","EN","NT","N","2007",4,2,2007
"Afrocarpus dawei","LR/lc","NT","N","2007",1,2,2007
"Afrocarpus usambarensis","DD","VU","N","2007",0,3,2007
"Chlorocardium rodiei","VU","DD","N","2007",3,0,2007
"Dacrydium cornwalliana","DD","LC","N","2007",0,1,2007
"Dacrydium leptophyllum","DD","VU","N","2007",0,3,2007
"Dacrydium spathoides","DD","NT","N","2007",0,2,2007
"Falcatifolium sleumeri","DD","NT","N","2007",0,2,2007
"Hopea subalata","EN","CR","N","2007",4,5,2007
"Microbiota decussata","DD","LC","N","2007",0,1,2007
"Nageia fleuryi","DD","NT","N","2007",0,2,2007
"Pinus bhutanica","DD","LC","N","2007",0,1,2007
"Pinus bungeana","DD","LC","N","2007",0,1,2007
"Pinus dalatensis","VU","DD","N","2007",3,0,2007
"Pinus greggii","DD","NT","N","2007",0,2,2007
"Podocarpus acuminatus","DD","NT","N","2007",0,2,2007
"Podocarpus atjehensis","DD","NT","N","2007",0,2,2007
"Podocarpus barretoi","DD","NT","N","2007",0,2,2007
"Podocarpus borneensis","DD","LC","N","2007",0,1,2007
"Podocarpus capuronii","DD","EN","N","2007",0,4,2007
"Podocarpus costaricensis","DD","VU","N","2007",0,3,2007
"Podocarpus deflexus","DD","EN","N","2007",0,4,2007
"Podocarpus dispermus","DD","NT","N","2007",0,2,2007
"Podocarpus globulus","DD","EN","N","2007",0,4,2007
"Podocarpus guatemalensis","DD","LC","N","2007",0,1,2007
"Podocarpus humbertii","DD","EN","N","2007",0,4,2007
"Podocarpus lambertii","DD","NT","N","2007",0,2,2007
"Podocarpus laubenfelsii","DD","EN","N","2007",0,4,2007
"Podocarpus longifoliolatus","LR/lc","EN","N","2007",1,4,2007
"Podocarpus matudae","DD","NT","N","2007",0,2,2007
"Podocarpus palawanensis","DD","CR","N","2007",0,5,2007
"Podocarpus pallidus","DD","VU","N","2007",0,3,2007
"Podocarpus pendulifolius","DD","EN","N","2007",0,4,2007
"Podocarpus perrieri","DD","CR","N","2007",0,5,2007
"Gulo gulo","VU","NT","G","2008",3,2,2008
"Mustela nigripes","EW","EN","G","2008",6,4,2008
"Arctocephalus philippii","VU","NT","G","2008",3,2,2008
"Arctocephalus townsendi","VU","NT","G","2008",3,2,2008
"Balaena mysticetus","LR/cd","LC","G","2008",2,1,2008
"Eubalaena australis","LR/cd","LC","G","2008",2,1,2008
"Megaptera novaeangliae","VU","LC","G","2008",3,1,2008
"Bison bonasus","EN","VU","G","2008",4,3,2008
"Capra pyrenaica","LR/nt","LC","G","2008",2,1,2008
"Capra walie","CR","EN","G","2008",5,4,2008
"Procapra przewalskii","CR","EN","G","2008",5,4,2008
"Rupicapra pyrenaica","LR/cd","LC","G","2008",2,1,2008
"Eschrichtius robustus","LR/cd","LC","G","2008",2,1,2008
"Pteropus dasymallus","EN","NT","G","2008",4,2,2008
"Pteropus molossinus","CR","VU","G","2008",5,3,2008
"Pteropus samoensis","VU","NT","G","2008",3,2,2008
"Corynorhinus rafinesquii","VU","LC","G","2008",3,1,2008
"Corynorhinus townsendii","VU","LC","G","2008",3,1,2008
"Myotis emarginatus","VU","LC","G","2008",3,1,2008
"Myotis grisescens","EN","NT","G","2008",4,2,2008
"Dasyurus geoffroii","VU","NT","G","2008",3,2,2008
"Dendrolagus lumholtzi","LR/nt","LC","G","2008",2,1,2008
"Macropus irma","LR/nt","LC","G","2008",2,1,2008
"Bettongia lesueur","VU","NT","G","2008",3,2,2008
"Pseudochirulus cinereus","LR/nt","LC","G","2008",2,1,2008
"Pseudochirulus herbertensis","LR/nt","LC","G","2008",2,1,2008
"Equus ferus","EW","CR","G","2008",6,5,2008
"Equus zebra","EN","VU","G","2008",4,3,2008
"Rhinoceros unicornis","EN","VU","G","2008",4,3,2008
"Leontopithecus chrysopygus","CR","EN","G","2008",5,4,2008
"Loxodonta africana","VU","NT","G","2008",3,2,2008
"Castor fiber","NT","LC","G","2008",2,1,2008
"Leporillus conditor","EN","VU","G","2008",4,3,2008
"Pseudomys fieldi","CR","VU","G","2008",5,3,2008
"Pseudomys occidentalis","EN","LC","G","2008",4,1,2008
"Spermophilus suslicus","VU","NT","G","2008",3,2,2008
"Spermophilus washingtoni","VU","NT","G","2008",3,2,2008
"Panthera pardus","LC","NT","G","2008",1,2,2008
"Prionailurus planiceps","VU","EN","G","2008",3,4,2008
"Prionailurus viverrinus","VU","EN","G","2008",3,4,2008
"Spilogale pygmaea","LR/lc","VU","G","2008",1,3,2008
"Aonyx cinerea","NT","VU","G","2008",2,3,2008
"Mustela altaica","LR/lc","NT","G","2008",1,2,2008
"Vormela peregusna","LR/lc","VU","G","2008",1,3,2008
"Arctocephalus galapagoensis","VU","EN","G","2008",3,4,2008
"Neophoca cinerea","LR/lc","EN","G","2008",1,4,2008
"Zalophus wollebaeki","VU","EN","G","2008",3,4,2008
"Monachus schauinslandi","EN","CR","G","2008",4,5,2008
"Hemigalus derbyanus","LR/lc","VU","G","2008",1,3,2008
"Paradoxurus zeylonensis","LR/lc","VU","G","2008",1,3,2008
"Cephalophus jentinki","VU","EN","G","2008",3,4,2008
"Kobus megaceros","LR/nt","EN","G","2008",2,4,2008
"Axis kuhlii","EN","CR","G","2008",4,5,2008
"Hydropotes inermis","LR/nt","VU","G","2008",2,3,2008
"Rucervus eldii","VU","EN","G","2008",3,4,2008
"Rusa timorensis","LR/lc","VU","G","2008",1,3,2008
"Rusa unicolor","LR/lc","VU","G","2008",1,3,2008
"Sus barbatus","LR/lc","VU","G","2008",1,3,2008
"Sus celebensis","LR/lc","NT","G","2008",1,2,2008
"Tayassu pecari","LR/lc","NT","G","2008",1,2,2008
"Amorphochilus schnablii","VU","EN","G","2008",3,4,2008
"Coelops robinsoni","LR/nt","VU","G","2008",2,3,2008
"Tadarida johorensis","LR/nt","VU","G","2008",2,3,2008
"Tadarida mops","LR/lc","NT","G","2008",1,2,2008
"Nycteris tragata","LR/lc","NT","G","2008",1,2,2008
"Lonchorhina fernandezi","VU","EN","G","2008",3,4,2008
"Lonchorhina orinocensis","LR/nt","VU","G","2008",2,3,2008
"Platyrrhinus chocoensis","VU","EN","G","2008",3,4,2008
"Acerodon mackloti","LR/lc","VU","G","2008",1,3,2008
"Eidolon helvum","LC","NT","G","2008",1,2,2008
"Megaerops wetmorei","LR/lc","VU","G","2008",1,3,2008
"Pteropus caniceps","LR/lc","NT","G","2008",1,2,2008
"Pteropus lylei","LR/lc","VU","G","2008",1,3,2008
"Pteropus melanopogon","LR/lc","EN","G","2008",1,4,2008
"Pteropus niger","VU","EN","G","2008",3,4,2008
"Pteropus temminckii","LR/nt","VU","G","2008",2,3,2008
"Pteropus vampyrus","LR/lc","NT","G","2008",1,2,2008
"Pteropus woodfordi","LR/lc","VU","G","2008",1,3,2008
"Rousettus bidens","LR/nt","VU","G","2008",2,3,2008
"Styloctenium wallacei","LR/nt","VU","G","2008",2,3,2008
"Rhinolophus cognatus","VU","EN","G","2008",3,4,2008
"Rhinolophus sedulus","LR/lc","NT","G","2008",1,2,2008
"Corynorhinus mexicanus","LR/lc","NT","G","2008",1,2,2008
"Hesperoptenus tomesi","LR/lc","VU","G","2008",1,3,2008
"Kerivoula pellucida","LR/lc","NT","G","2008",1,2,2008
"Murina aenea","LR/nt","VU","G","2008",2,3,2008
"Murina rozendaali","LR/nt","VU","G","2008",2,3,2008
"Phoniscus atrox","LR/lc","NT","G","2008",1,2,2008
"Rhogeessa minutilla","LR/nt","VU","G","2008",2,3,2008
"Dasyurus hallucatus","LR/nt","EN","G","2008",2,4,2008
"Pseudantechinus bilarni","LR/lc","NT","G","2008",1,2,2008
"Sarcophilus harrisii","LR/lc","EN","G","2008",1,4,2008
"Myrmecobius fasciatus","VU","EN","G","2008",3,4,2008
"Burramys parvus","EN","CR","G","2008",4,5,2008
"Dendrolagus mbaiso","VU","CR","G","2008",3,5,2008
"Dendrolagus scottae","EN","CR","G","2008",4,5,2008
"Dorcopsis luctuosa","LR/lc","VU","G","2008",1,3,2008
"Dorcopsulus vanheurni","LR/lc","NT","G","2008",1,2,2008
"Petaurus abidi","VU","CR","G","2008",3,5,2008
"Phalanger lullulae","LR/lc","EN","G","2008",1,4,2008
"Phalanger matanim","EN","CR","G","2008",4,5,2008
"Spilocuscus kraemeri","LR/lc","NT","G","2008",1,2,2008
"Spilocuscus rufoniger","EN","CR","G","2008",4,5,2008
"Bettongia penicillata","LR/cd","CR","G","2008",2,5,2008
"Pseudochirops coronatus","LR/lc","VU","G","2008",1,3,2008
"Ochotona iliensis","VU","EN","G","2008",3,4,2008
"Equus hemionus","VU","EN","G","2008",3,4,2008
"Manis javanica","LR/nt","EN","G","2008",2,4,2008
"Manis pentadactyla","LR/nt","EN","G","2008",2,4,2008
"Saguinus niger","LC","VU","G","2008",1,3,2008
"Macaca hecki","LR/nt","VU","G","2008",2,3,2008
"Macaca nigra","EN","CR","G","2008",4,5,2008
"Macaca tonkeana","LR/nt","VU","G","2008",2,3,2008
"Presbytis melalophos","LR/nt","EN","G","2008",2,4,2008
"Presbytis thomasi","LR/nt","VU","G","2008",2,3,2008
"Pygathrix cinerea","EN","CR","G","2008",4,5,2008
"Trachypithecus obscurus","LR/lc","NT","G","2008",1,2,2008
"Hylobates agilis","LR/nt","EN","G","2008",2,4,2008
"Hylobates albibarbis","LR/nt","EN","G","2008",2,4,2008
"Hylobates klossii","VU","EN","G","2008",3,4,2008
"Hylobates lar","LR/nt","EN","G","2008",2,4,2008
"Hylobates muelleri","LR/nt","EN","G","2008",2,4,2008
"Nomascus concolor","EN","CR","G","2008",4,5,2008
"Symphalangus syndactylus","LR/nt","EN","G","2008",2,4,2008
"Nycticebus coucang","LR/lc","VU","G","2008",1,3,2008
"Tarsius bancanus","LR/lc","VU","G","2008",1,3,2008
"Abrothrix illuteus","LR/lc","NT","G","2008",1,2,2008
"Abrothrix sanborni","LR/lc","NT","G","2008",1,2,2008
"Akodon latebricola","LR/lc","VU","G","2008",1,3,2008
"Akodon surdus","LR/lc","VU","G","2008",1,3,2008
"Arborimus longicaudus","LR/lc","NT","G","2008",1,2,2008
"Arvicola sapidus","LR/nt","VU","G","2008",2,3,2008
"Calomys hummelincki","LR/lc","VU","G","2008",1,3,2008
"Mesocricetus brandti","LR/lc","NT","G","2008",1,2,2008
"Microtus oaxacensis","LR/nt","EN","G","2008",2,4,2008
"Microtus quasiater","LR/lc","NT","G","2008",1,2,2008
"Microtus umbrosus","LR/lc","EN","G","2008",1,4,2008
"Neotoma palatina","LR/nt","VU","G","2008",2,3,2008
"Reithrodontomys microdon","LR/nt","VU","G","2008",2,3,2008
"Reithrodontomys spectabilis","EN","CR","G","2008",4,5,2008
"Sigmodon alleni","LR/lc","VU","G","2008",1,3,2008
"Thomasomys hylophilus","LR/lc","EN","G","2008",1,4,2008
"Wilfredomys oenax","LR/lc","EN","G","2008",1,4,2008
"Xenomys nelsoni","LR/nt","EN","G","2008",2,4,2008
"Ctenomys australis","LR/lc","EN","G","2008",1,4,2008
"Allactaga vinogradovi","LR/lc","NT","G","2008",1,2,2008
"Pappogeomys alcorni","VU","CR","G","2008",3,5,2008
"Chaetodipus goldmani","LR/lc","VU","G","2008",1,3,2008
"Dipodomys nitratoides","LR/nt","VU","G","2008",2,3,2008
"Gerbillus gleadowi","LR/lc","NT","G","2008",1,2,2008
"Maxomys rajah","LR/lc","VU","G","2008",1,3,2008
"Maxomys whiteheadi","LR/lc","VU","G","2008",1,3,2008
"Nesokia bunnii","LR/nt","EN","G","2008",2,4,2008
"Niviventer cremoriventer","LR/lc","VU","G","2008",1,3,2008
"Pseudomys fumeus","VU","EN","G","2008",3,4,2008
"Pseudomys novaehollandiae","LR/lc","VU","G","2008",1,3,2008
"Rattus richardsoni","LR/lc","VU","G","2008",1,3,2008
"Solomys ponceleti","EN","CR","G","2008",4,5,2008
"Solomys salebrosus","LR/nt","EN","G","2008",2,4,2008
"Solomys sapientis","VU","EN","G","2008",3,4,2008
"Uromys neobritannicus","LR/lc","EN","G","2008",1,4,2008
"Zyzomys maini","LR/lc","NT","G","2008",1,2,2008
"Octodon bridgesi","LR/lc","VU","G","2008",1,3,2008
"Octodon pacificus","VU","CR","G","2008",3,5,2008
"Callosciurus adamsi","LR/lc","VU","G","2008",1,3,2008
"Callosciurus melanogaster","LR/lc","VU","G","2008",1,3,2008
"Marmota sibirica","LR/lc","EN","G","2008",1,4,2008
"Marmota vancouverensis","EN","CR","G","2008",4,5,2008
"Petaurista nobilis","LR/nt","VU","G","2008",2,3,2008
"Petinomys genibarbis","LR/lc","VU","G","2008",1,3,2008
"Petinomys lugens","LR/nt","EN","G","2008",2,4,2008
"Petinomys setosus","LR/lc","VU","G","2008",1,3,2008
"Petinomys vordermanni","LR/lc","VU","G","2008",1,3,2008
"Pteromyscus pulverulentus","LR/nt","EN","G","2008",2,4,2008
"Ratufa bicolor","LR/lc","NT","G","2008",1,2,2008
"Rhinosciurus laticaudatus","LR/lc","NT","G","2008",1,2,2008
"Rubrisciurus rubriventer","LR/lc","VU","G","2008",1,3,2008
"Spermophilus perotensis","LR/nt","EN","G","2008",2,4,2008
"Spermophilus xanthoprymnus","LR/lc","NT","G","2008",1,2,2008
"Spalax arenarius","VU","EN","G","2008",3,4,2008
"Spalax zemni","LR/lc","VU","G","2008",1,3,2008
"Ducula galeata","CR","EN","G","2008",5,4,2008
"Apteryx owenii","VU","NT","G","2008",3,2,2008
"Aythya baeri","VU","EN","G","2008",3,4,2008
"Sterna nereis","LC","VU","G","2008",1,3,2008
"Eurynorhynchus pygmeus","EN","CR","G","2008",4,5,2008
"Numenius arquata","LC","NT","G","2008",1,2,2008
"Ducula finschii","LC","NT","G","2008",1,2,2008
"Ducula rubricera","LC","NT","G","2008",1,2,2008
"Reinwardtoena browni","LC","NT","G","2008",1,2,2008
"Centropus violaceus","LC","NT","G","2008",1,2,2008
"Accipiter princeps","NT","VU","G","2008",2,3,2008
"Pauxi pauxi","VU","EN","G","2008",3,4,2008
"Tetrao mlokosiewiczi","DD","NT","G","2008",0,2,2008
"Atrichornis rufescens","NT","VU","G","2008",2,3,2008
"Coracina newtoni","EN","CR","G","2008",4,5,2008
"Corvus kubaryi","EN","CR","G","2008",4,5,2008
"Loxops caeruleirostris","EN","CR","G","2008",4,5,2008
"Stipiturus mallee","VU","EN","G","2008",3,4,2008
"Melidectes whitemanensis","LC","NT","G","2008",1,2,2008
"Mimus trifasciatus","EN","CR","G","2008",4,5,2008
"Megalurulus grosvenori","DD","VU","G","2008",0,3,2008
"Sylvia undata","LC","NT","G","2008",1,2,2008
"Diomedea dabbenena","EN","CR","G","2008",4,5,2008
"Cacatua ophthalmica","LC","VU","G","2008",1,3,2008
"Ninox odiosa","LC","VU","G","2008",1,3,2008
"Tyto aurantia","DD","VU","G","2008",0,3,2008
"Crocodylus rhombifer","EN","CR","G","2008",4,5,2008
"Erymnochelys madagascariensis","EN","CR","G","2008",4,5,2008
"Astrochelys radiata","VU","CR","G","2008",3,5,2008
"Astrochelys yniphora","EN","CR","G","2008",4,5,2008
"Pyxis arachnoides","VU","CR","G","2008",3,5,2008
"Pyxis planicauda","EN","CR","G","2008",4,5,2008
"Thorius macdougalli","EN","VU","G","2008",4,3,2008
"Incilius holdridgei","CR","EX","G","2008",5,7,2008
"Centrolene buckleyi","NT","VU","G","2008",2,3,2008
"Craugastor escoces","CR","EX","G","2008",5,7,2008
"Parvimolge townsendi","EN","CR","G","2008",4,5,2008
"Pseudoeurycea gigantea","EN","CR","G","2008",4,5,2008
"Pseudoeurycea juarezi","EN","CR","G","2008",4,5,2008
"Thorius munificus","EN","CR","G","2008",4,5,2008
"Hemiphlebia mirabilis","VU","EN","G","2008",3,4,2008
"Gulo gulo","NT","LC","N","2009",2,1,2009
"Aceros narcondami","VU","EN","N","2009",3,4,2009
"Acrocephalus aequinoctialis","LC","EN","N","2009",1,4,2009
"Acrocephalus luscinius","EN","CR","G","2009",4,5,2009
"Amazilia castaneiventris","CR","EN","N","2009",5,4,2009
"Amazona vinacea","VU","EN","N","2009",3,4,2009
"Anodorhynchus leari","CR","EN","G","2009",5,4,2009
"Arborophila cambodiana","VU","LC","N","2009",3,1,2009
"Arborophila davidi","EN","NT","N","2009",4,2,2009
"Balearica regulorum","LC","VU","G","2009",1,3,2009
"Camarhynchus pauper","VU","CR","N","2009",3,5,2009
"Capito quinticolor","NT","VU","N","2009",2,3,2009
"Coracina analis","LC","NT","N","2009",1,2,2009
"Crax rubra","NT","VU","N","2009",2,3,2009
"Cyanoramphus saisetti","NT","VU","N","2009",2,3,2009
"Egretta rufescens","LC","NT","N","2009",1,2,2009
"Eunymphicus cornutus","EN","VU","N","2009",4,3,2009
"Foudia rubra","CR","EN","G","2009",5,4,2009
"Geositta poeciloptera","NT","VU","N","2009",2,3,2009
"Grantiella picta","NT","VU","G","2009",2,3,2009
"Gymnomyza aubryana","EN","CR","N","2009",4,5,2009
"Heliopais personatus","VU","EN","N","2009",3,4,2009
"Hemitriccus kaempferi","CR","EN","N","2009",5,4,2009
"Heteromirafra sidamoensis","EN","CR","G","2009",4,5,2009
"Hypsipetes nicobariensis","VU","NT","N","2009",3,2,2009
"Locustella pryeri","VU","NT","N","2009",3,2,2009
"Loriculus catamene","EN","NT","N","2009",4,2,2009
"Lorius garrulus","EN","VU","N","2009",4,3,2009
"Loxioides bailleui","EN","CR","G","2009",4,5,2009
"Macronectes giganteus","NT","LC","N","2009",2,1,2009
"Macronectes halli","NT","LC","N","2009",2,1,2009
"Megalurulus mariei","NT","LC","N","2009",2,1,2009
"Menura alberti","VU","NT","G","2009",3,2,2009
"Neomorphus radiolosus","VU","EN","N","2009",3,4,2009
"Pavo muticus","VU","EN","N","2009",3,4,2009
"Phylloscartes roquettei","CR","EN","N","2009",5,4,2009
"Podiceps gallardoi","NT","EN","G","2009",2,4,2009
"Polemaetus bellicosus","LC","NT","N","2009",1,2,2009
"Primolius couloni","EN","VU","N","2009",4,3,2009
"Pterodroma axillaris","CR","EN","G","2009",5,4,2009
"Pterodroma cookii","EN","VU","G","2009",4,3,2009
"Ptilinopus tannensis","NT","LC","N","2009",2,1,2009
"Pyrrhura devillei","LC","NT","N","2009",1,2,2009
"Sericulus bakeri","VU","NT","N","2009",3,2,2009
"Spizaetus floris","EN","CR","N","2009",4,5,2009
"Suiriri islerorum","LC","NT","G","2009",1,2,2009
"Tachycineta cyaneoviridis","VU","EN","N","2009",3,4,2009
"Terathopius ecaudatus","LC","NT","N","2009",1,2,2009
"Todiramphus farquhari","VU","NT","N","2009",3,2,2009
"Todiramphus godeffroyi","EN","CR","G","2009",4,5,2009
"Tyto soumagnei","EN","VU","N","2009",4,3,2009
"Archaeolacerta bedriagae","VU","NT","N","2009",3,2,2009
"Darevskia alpina","DD","VU","N","2009",0,3,2009
"Hydrosaurus pustulatus","DD","VU","N","2009",0,3,2009
"Iberolacerta aranica","CR","EN","N","2009",5,4,2009
"Montivipera bulgardaghica","CR","LC","N","2009",5,1,2009
"Montivipera raddei","LR/lc","NT","N","2009",1,2,2009
"Montivipera wagneri","EN","CR","N","2009",4,5,2009
"Podarcis milensis","NT","VU","N","2009",2,3,2009
"Vipera latastei","NT","VU","N","2009",2,3,2009
"Vipera latifii","VU","EN","N","2009",3,4,2009
"Vipera pontica","CR","EN","N","2009",5,4,2009
"Vipera ursinii","EN","VU","N","2009",4,3,2009
"Bolitoglossa hiemalis","VU","DD","N","2009",3,0,2009
"Bolitoglossa hypacra","VU","LC","N","2009",3,1,2009
"Bombina pachypus","LC","EN","N","2009",1,4,2009
"Boophis axelmeyeri","NT","VU","N","2009",2,3,2009
"Bufo verrucosissimus","LC","NT","N","2009",1,2,2009
"Cochranella puyoensis","CR","EN","N","2009",5,4,2009
"Cophixalus hosmeri","VU","LC","N","2009",3,1,2009
"Craugastor milesi","EX","CR","N","2009",7,5,2009
"Kaloula assamensis","DD","LC","N","2009",0,1,2009
"Lyciasalamandra luschani","EN","VU","N","2009",4,3,2009
"Mantella manery","DD","VU","N","2009",0,3,2009
"Nectophrynoides asperginis","CR","EW","G","2009",5,6,2009
"Neurergus microspilotus","EN","CR","N","2009",4,5,2009
"Ommatotriton ophryticus","LC","NT","N","2009",1,2,2009
"Pelodytes caucasicus","LC","NT","N","2009",1,2,2009
"Pelophylax caralitanus","LC","NT","N","2009",1,2,2009
"Pelophylax cerigensis","EN","CR","N","2009",4,5,2009
"Plethodontohyla fonetana","VU","EN","N","2009",3,4,2009
"Pristimantis lasalleorum","VU","DD","N","2009",3,0,2009
"Pristimantis satagius","VU","DD","N","2009",3,0,2009
"Psychrophrynella condoriri","VU","DD","N","2009",3,0,2009
"Psychrophrynella guillei","VU","CR","N","2009",3,5,2009
"Psychrophrynella harveyi","VU","DD","N","2009",3,0,2009
"Psychrophrynella iani","VU","DD","N","2009",3,0,2009
