"name","before","after","N/G","year","state1","state2","result.year"
"Fenouilia kreitneri","CR","EN","N","2011.2",5,4,2011
"Ferrissia mcneili","VU","LC","N","2011.2",3,1,2011
"Fissuria boui","VU","NT","N","2011.1",3,2,2011
"Fluvidona petterdi","VU","CR","N","2011.2",3,5,2011
"Fonscochlea aquatica","VU","EN","N","2011.2",3,4,2011
"Fusconaia ozarkensis","LR/nt","LC","N","2011.2",2,1,2011
"Gittenbergeria turriplana","LR/lc","NT","N","2011.1",1,2,2011
"Glyptophysa petiti","EN","DD","N","2011.2",4,0,2011
"Gyraulus mauritianus","VU","LC","N","2011.2",3,1,2011
"Helicella stiparum","VU","EN","N","2011.1",3,4,2011
"Helicella striatitala","LR/nt","LC","N","2011.1",2,1,2011
"Helix godetiana","LR/nt","EN","N","2011.1",2,4,2011
"Hemicycla berkeleii","LR/nt","DD","N","2011.1",2,0,2011
"Hemicycla inutilis","LR/cd","VU","G","2011.1",2,3,2011
"Hemicycla mascaensis","LR/nt","CR","N","2011.1",2,5,2011
"Hemicycla modesta","LR/lc","CR","N","2011.1",1,5,2011
"Hemicycla plicaria","LR/lc","CR","N","2011.1",1,5,2011
"Hemicycla pouchadan","VU","EN","N","2011.1",3,4,2011
"Hemicycla pouchet","LR/cd","VU","N","2011.1",2,3,2011
"Hemistomia beaumonti","EN","DD","N","2011.2",4,0,2011
"Hemistomia minutissima","VU","LC","N","2011.2",3,1,2011
"Hystricella bicarinata","VU","NT","N","2011.1",3,2,2011
"Hystricella echinulata","VU","LC","N","2011.1",3,1,2011
"Hystricella oxytropis","VU","NT","N","2011.1",3,2,2011
"Ichnusomunda sacchii","VU","CR","N","2011.1",3,5,2011
"Idiomela subplicata","VU","CR","N","2011.1",3,5,2011
"Jardinella carnarvonensis","VU","LC","N","2011.2",3,1,2011
"Jardinella exigua","VU","EN","N","2011.2",3,4,2011
"Jardinella zeidlerorum","VU","EN","N","2011.2",3,4,2011
"Lampadia webbiana","VU","EN","G","2011.1",3,4,2011
"Lasmigona holstonia","LR/nt","LC","N","2011.2",2,1,2011
"Lauria fanalensis","VU","LC","N","2011.1",3,1,2011
"Leiostyla calathiscus","VU","NT","N","2011.1",3,2,2011
"Leiostyla cheilogona","VU","LC","N","2011.1",3,1,2011
"Leiostyla concinna","VU","EN","G","2011.1",3,4,2011
"Leiostyla degenerata","VU","NT","G","2011.1",3,2,2011
"Leiostyla heterodon","CR","VU","N","2011.1",5,3,2011
"Leiostyla laurinea","LR/cd","VU","N","2011.1",2,3,2011
"Leiostyla monticola","VU","LC","N","2011.1",3,1,2011
"Leiostyla relevata","VU","NT","G","2011.1",3,2,2011
"Leiostyla vermiculosa","VU","DD","N","2011.1",3,0,2011
"Lemniscia galeata","DD","CR","N","2011.1",0,5,2011
"Lemniscia michaudi","VU","NT","G","2011.1",3,2,2011
"Leptaxis terceirana","VU","LC","N","2011.1",3,1,2011
"Leptoxis plicata","VU","CR","N","2011.2",3,5,2011
"Lithasia jayana","VU","DD","N","2011.2",3,0,2011
"Lithasia lima","VU","DD","N","2011.2",3,0,2011
"Lithasia verrucosa","VU","LC","N","2011.2",3,1,2011
"Napaeus nanodes","LR/cd","EN","N","2011.1",2,4,2011
"Nitia monceti","DD","LC","N","2011.2",0,1,2011
"Orcula austriaca","DD","LC","N","2011.1",0,1,2011
"Orcula fuchsi","LR/nt","CR","G","2011.1",2,5,2011
"Orcula pseudodolium","DD","NT","N","2011.1",0,2,2011
"Petasina subtecta","DD","NT","N","2011.1",0,2,2011
"Phrantela pupiformis","VU","LC","N","2011.2",3,1,2011
"Phrantela umbilicata","VU","LC","N","2011.2",3,1,2011
"Pisidium fultoni","LR/nt","DD","N","2011.2",2,0,2011
"Platyla maasseni","DD","VU","N","2011.1",0,3,2011
"Platyla microspira","DD","LC","N","2011.1",0,1,2011
"Platyla orthostoma","DD","NT","N","2011.1",0,2,2011
"Platyla peloponnesica","DD","VU","N","2011.1",0,3,2011
"Pleurobema beadleianum","LR/nt","LC","N","2011.2",2,1,2011
"Pleurocera postelli","VU","DD","N","2011.2",3,0,2011
"Pleurocera pyrenella","VU","NT","N","2011.2",3,2,2011
"Plutonia machadoi","LR/nt","CR","N","2011.1",2,5,2011
"Plutonia reticulata","EN","CR","G","2011.1",4,5,2011
"Pseudanodonta complanata","LR/nt","VU","G","2011.2",2,3,2011
"Pseudocampylaea portosanctana","LR/nt","LC","N","2011.1",2,1,2011
"Pyrenaearia cotiellae","LR/nt","VU","N","2011.1",2,3,2011
"Pyrenaearia molae","VU","CR","N","2011.1",3,5,2011
"Pyrenaearia navasi","LR/nt","VU","N","2011.1",2,3,2011
"Pyrenaearia organiaca","LR/nt","EN","N","2011.1",2,4,2011
"Pyrenaearia parva","LR/nt","VU","N","2011.1",2,3,2011
"Pyrenaearia velascoi","LR/nt","VU","N","2011.1",2,3,2011
"Pyrgulopsis avernalis","EN","VU","N","2011.2",4,3,2011
"Pyrgulopsis robusta","DD","LC","N","2011.2",0,1,2011
"Quadrula succissa","LR/nt","LC","N","2011.2",2,1,2011
"Renea bourguignatiana","VU","CR","G","2011.1",3,5,2011
"Solatopupa guidoni","LR/lc","DD","N","2011.1",1,0,2011
"Solatopupa psarolena","LR/nt","VU","N","2011.1",2,3,2011
"Somatogyrus biangulatus","CR","DD","N","2011.2",5,0,2011
"Somatogyrus decipiens","CR(PE)","DD","N","2011.2",5,0,2011
"Somatogyrus excavatus","CR(PE)","DD","N","2011.2",5,0,2011
"Somatogyrus obtusus","CR(PE)","DD","N","2011.2",5,0,2011
"Somatogyrus tenax","DD","NT","N","2011.2",0,2,2011
"Spirorbula latens","VU","LC","N","2011.1",3,1,2011
"Spirorbula obtecta","LR/nt","LC","N","2011.1",2,1,2011
"Suboestophora altamirai","LR/nt","VU","G","2011.1",2,3,2011
"Suboestophora hispanica","LR/nt","VU","G","2011.1",2,3,2011
"Tacheocampylaea raspailii","DD","VU","N","2011.1",0,3,2011
"Theba arinagae","VU","CR","G","2011.1",3,5,2011
"Theodoxus transversalis","DD","EN","N","2011.2",0,4,2011
"Thyrreniellina josephi","VU","NT","N","2011.1",3,2,2011
"Trochidrobia punicea","LR/nt","LC","N","2011.2",2,1,2011
"Trochulus caelatus","DD","NT","N","2011.1",0,2,2011
"Trochulus graminicola","DD","NT","N","2011.1",0,2,2011
"Trochulus oreinos","DD","NT","N","2011.1",0,2,2011
"Unio crassus","LR/nt","EN","N","2011.2",2,4,2011
"Vallonia suevica","DD","EN","N","2011.1",0,4,2011
"Valvata utahensis","DD","VU","N","2011.2",0,3,2011
"Vertigo genesii","LR/cd","LC","N","2011.2",2,1,2011
"Vertigo geyeri","LR/cd","LC","N","2011.2",2,1,2011
"Victodrobia burni","VU","LC","N","2011.2",3,1,2011
"Victodrobia elongata","VU","LC","N","2011.2",3,1,2011
"Viviparus acerosus","LR/nt","LC","N","2011.2",2,1,2011
"Westralunio carteri","VU","LC","N","2011.2",3,1,2011
"Xerocrassa molinae","VU","NT","N","2011.1",3,2,2011
"Xerocrassa montserratensis","LR/nt","EN","G","2011.1",2,4,2011
"Xerosecta adolfi","LR/nt","EN","N","2011.1",2,4,2011
"Xerotricha gasulli","LR/nt","EN","G","2011.1",2,4,2011
"Xerotricha mariae","VU","DD","N","2011.1",3,0,2011
"Xerotricha zujarensis","LR/nt","DD","N","2011.1",2,0,2011
"Allium rouyi","CR","LC","N","2011.1",5,1,2011
"Anchusa crispa","CR","EN","N","2011.1",5,4,2011
"Campnosperma seychellarum","EN","CR","N","2011.2",4,5,2011
"Centranthus trinervis","CR","EN","G","2011.1",5,4,2011
"Colea seychellarum","VU","EN","N","2011.2",3,4,2011
"Craterispermum microdon","VU","EN","N","2011.2",3,4,2011
"Deckenia nobilis","EN","VU","N","2011.2",4,3,2011
"Dillenia ferruginea","VU","NT","N","2011.2",3,2,2011
"Diospyros seychellarum","VU","NT","N","2011.2",3,2,2011
"Erythroxylum sechellarum","VU","LC","N","2011.2",3,1,2011
"Glionnetia sericea","VU","EN","N","2011.2",3,4,2011
"Grisollea thomassetii","VU","CR","N","2011.2",3,5,2011
"Ixora pudica","VU","NT","N","2011.2",3,2,2011
"Limonium strictissimum","CR","EN","N","2011.1",5,4,2011
"Lodoicea maldivica","VU","EN","N","2011.1",3,4,2011
"Memecylon elaeagni","VU","LC","N","2011.2",3,1,2011
"Mimusops sechellarum","VU","NT","N","2011.2",3,2,2011
"Nephrosperma van-houtteanum","LR/nt","LC","N","2011.2",2,1,2011
"Pandanus multispicatus","VU","NT","N","2011.2",3,2,2011
"Pandanus sechellarum","VU","NT","N","2011.2",3,2,2011
"Phoenicophorium borsigianum","LR/nt","LC","N","2011.2",2,1,2011
"Rothmannia annae","VU","CR","N","2011.2",3,5,2011
"Schefflera procumbens","VU","CR","N","2011.2",3,5,2011
"Silene hicesiae","CR","VU","G","2011.1",5,3,2011
"Verschaffeltia splendida","LR/cd","NT","N","2011.2",2,2,2011
"Zelkova abelicea","VU","EN","N","2011.2",3,4,2011
"Abies cephalonica","LR/nt","LC","N","2011.2",2,1,2011
"Abies koreana","LR/nt","EN","N","2011.2",2,4,2011
"Abies numidica","VU","CR","N","2011.2",3,5,2011
"Abies pinsapo","LR/nt","EN","G","2011.2",2,4,2011
"Abies spectabilis","LR/lc","NT","N","2011.2",1,2,2011
"Abies ziyuanensis","CR","EN","N","2011.2",5,4,2011
"Glyptostrobus pensilis","EN","CR","G","2011.2",4,5,2011
