"name","result.year","state","TSFO","change.status"
"Ablepharus deserti",2010,1,0,"U"
"Ablepharus deserti",2017,1,7,"U"
"Ablepharus kitaibelii",2006,1,0,"U"
"Ablepharus kitaibelii",2009,1,3,"U"
"Ablepharus kitaibelii",2017,1,11,"U"
"Abrocoma bennettii",1996,1,0,"U"
"Abrocoma bennettii",2008,1,12,"U"
"Abrocoma bennettii",2016,1,20,"U"
"Abrocoma boliviensis",1996,3,0,"U"
"Abrocoma boliviensis",2008,5,12,"N"
"Abrocoma boliviensis",2016,5,20,"U"
"Abrocoma budini",2008,0,0,"U"
"Abrocoma budini",2016,0,8,"U"
"Abrocoma cinerea",1996,1,0,"U"
"Abrocoma cinerea",2008,1,12,"U"
"Abrocoma cinerea",2016,1,20,"U"
"Abrocoma famatina",2008,0,0,"U"
"Abrocoma famatina",2016,0,8,"U"
"Abrocoma shistacea",2008,0,0,"U"
"Abrocoma shistacea",2016,1,8,"N"
"Abrocoma uspallata",2008,0,0,"U"
"Abrocoma uspallata",2016,0,8,"U"
"Abrocoma vaccarum",2008,0,0,"U"
"Abrocoma vaccarum",2016,0,8,"U"
"Abronia matudai",2007,4,0,"U"
"Abronia matudai",2013,4,6,"U"
"Abronia montecristoi",1994,4,0,"U"
"Abronia montecristoi",1996,5,2,"U"
"Abronia montecristoi",2013,4,19,"N"
"Abronia ochoterenai",2007,0,0,"U"
"Abronia ochoterenai",2013,0,6,"U"
"Abroscopus albogularis",1994,1,0,"U"
"Abroscopus albogularis",2000,1,6,"U"
"Abroscopus albogularis",2004,1,10,"U"
"Abroscopus albogularis",2008,1,14,"U"
"Abroscopus albogularis",2009,1,15,"U"
"Abroscopus albogularis",2012,1,18,"U"
"Abroscopus albogularis",2016,1,22,"U"
"Abroscopus schisticeps",1994,1,0,"U"
"Abroscopus schisticeps",2000,1,6,"U"
"Abroscopus schisticeps",2004,1,10,"U"
"Abroscopus schisticeps",2008,1,14,"U"
"Abroscopus schisticeps",2009,1,15,"U"
"Abroscopus schisticeps",2012,1,18,"U"
"Abroscopus schisticeps",2016,1,22,"U"
"Abroscopus superciliaris",1994,1,0,"U"
"Abroscopus superciliaris",2000,1,6,"U"
"Abroscopus superciliaris",2004,1,10,"U"
"Abroscopus superciliaris",2008,1,14,"U"
"Abroscopus superciliaris",2009,1,15,"U"
"Abroscopus superciliaris",2012,1,18,"U"
"Abroscopus superciliaris",2016,1,22,"U"
"Abrothrix andinus",1996,1,0,"U"
"Abrothrix andinus",2008,1,12,"U"
"Abrothrix andinus",2016,1,20,"U"
"Abrothrix illutea",1996,1,0,"U"
"Abrothrix illutea",2008,2,12,"N"
"Abrothrix illutea",2016,1,20,"N"
"Abrothrix jelskii",1996,1,0,"U"
"Abrothrix jelskii",2008,1,12,"U"
"Abrothrix jelskii",2016,1,20,"U"
"Abrothrix lanosus",1996,1,0,"U"
"Abrothrix lanosus",2008,1,12,"U"
"Abrothrix lanosus",2016,1,20,"U"
"Abrothrix longipilis",1996,1,0,"U"
"Abrothrix longipilis",2008,1,12,"U"
"Abrothrix longipilis",2016,1,20,"U"
"Abrothrix olivaceus",1996,1,0,"U"
"Abrothrix olivaceus",2008,1,12,"U"
"Abrothrix olivaceus",2017,1,21,"U"
"Abrothrix sanborni",1996,1,0,"U"
"Abrothrix sanborni",2008,2,12,"G"
"Aburria aburri",1994,2,0,"U"
"Aburria aburri",2000,2,6,"U"
"Aburria aburri",2004,2,10,"U"
"Aburria aburri",2008,2,14,"U"
"Aburria aburri",2012,2,18,"U"
"Aburria aburri",2016,2,22,"U"
"Acacia ankokib",1998,2,0,"U"
"Acacia ankokib",2012,3,14,"N"
"Acacia koaia",1998,1,0,"U"
"Acacia koaia",1998.5,3,0.5,"U"
"Acacia koaia",2003,3,5,"U"
"Acacia mathuataensis",1998,5,0,"U"
"Acacia mathuataensis",2016,4,18,"N"
"Acacia pennivenia",1998,3,0,"U"
"Acacia pennivenia",2004,2,6,"U"
"Acacia richii",1998,1,0,"U"
"Acacia richii",2016,1,18,"U"
"Acacia torrei",2012,0,0,"U"
"Acacia torrei",2014,1,2,"N"
"Acaena exigua",2003,7,0,"U"
"Acaena exigua",2016,7,13,"U"
"Acalypha rubrinervis",1998,7,0,"U"
"Acalypha rubrinervis",2016,7,18,"U"
"Acalypha wilderi",1998,4,0,"U"
"Acalypha wilderi",2014,7,16,"N"
"Acanthaeschna victoria",1996,3,0,"U"
"Acanthaeschna victoria",2017,4,21,"N"
"Acanthagenys rufogularis",1994,1,0,"U"
"Acanthagenys rufogularis",2000,1,6,"U"
"Acanthagenys rufogularis",2004,1,10,"U"
"Acanthagenys rufogularis",2008,1,14,"U"
"Acanthagenys rufogularis",2009,1,15,"U"
"Acanthagenys rufogularis",2012,1,18,"U"
"Acanthagenys rufogularis",2016,1,22,"U"
"Acanthagrion hartei",2009,0,0,"U"
"Acanthagrion hartei",2016,0,7,"U"
"Acanthagrion peruanum",2009,0,0,"U"
"Acanthagrion peruanum",2016,1,7,"N"
"Acanthametropus pecatonica",1994,7,0,"U"
"Acanthametropus pecatonica",1996,7,2,"U"
"Acanthastrea brevis",2008,3,0,"U"
"Acanthastrea brevis",2014,3,6,"U"
"Acanthastrea echinata",2008,1,0,"U"
"Acanthastrea echinata",2014,1,6,"U"
"Acanthastrea hillae",2008,2,0,"U"
"Acanthastrea hillae",2014,2,6,"U"
"Acanthastrea ishigakiensis",2008,3,0,"U"
"Acanthastrea ishigakiensis",2014,3,6,"U"
"Acanthastrea regularis",2008,3,0,"U"
"Acanthastrea regularis",2014,3,6,"U"
"Acanthastrea rotundoflora",2008,2,0,"U"
"Acanthastrea rotundoflora",2014,2,6,"U"
"Acanthemblemaria harpeza",2014,3,0,"U"
